year,year_rank,group,artist,song_name
1957,16,Elvis Presley,Elvis Presley,Jailhouse Rock
1957,17,Marty Robbins,Marty Robbins,A White Sport Coat (And A Pink Carnation)
1957,18,Del-Vikings,Del-Vikings,Come Go With Me
1957,19,Everly Brothers,Everly Brothers,Wake Up Little Susie
1957,20,Sam Cooke,Sam Cooke,You Send Me
1957,21,Coasters,Coasters,Searchin'
1957,22,Chuck Berry,Chuck Berry,School Day
1957,23,Ferlin Husky,Ferlin Husky,Gone
1957,24,Paul Anka,Paul Anka,Diana
1957,25,Ricky Nelson,Ricky Nelson,A Teenager's Romance
1957,26,Tarriers,Tarriers,The Banana Boat Song
1957,27,Jimmie Rodgers,Jimmie Rodgers,Honeycomb
1957,28,Jerry Lee Lewis,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On
1957,29,Gale Storm,Gale Storm,Dark Moon
1957,30,Crickets,Crickets,That'll Be The Day
1957,31,Charlie Gracie,Charlie Gracie,Butterfly
1957,32,Frankie Laine,Frankie Laine,Moonlight Gambler
1957,33,Tommy Sands,Tommy Sands,Teenage Crush
1957,34,Johnny Mathis,Johnny Mathis,It's Not For Me To Say
1957,35,Rays,Rays,Silhouettes
1957,36,Andy Williams,Andy Williams,Butterfly
1957,37,Terry Gilkyson,Terry Gilkyson,Marianne
1957,38,Fats Domino,Fats Domino,I'm Walkin'
1957,39,Johnny Mathis,Johnny Mathis,Chances Are
1957,40,Nat King Cole,Nat King Cole,Send For Me
1957,41,Russ Hamilton,Russ Hamilton,Rainbow
1957,42,Ricky Nelson,Ricky Nelson,Be-bop Baby
1957,43,Larry Williams,Larry Williams,Short Fat Fanny
1957,44,Jim Lowe,Jim Lowe,The Green Door
1957,45,Billy Williams,Billy Williams,I'm Gonna Sit Rlght Down And Write Myself A Letter
1957,46,Patti Page,Patti Page,Old Cape Cod
1957,47,Bobbettes,Bobbettes,Mr. Lee
1957,48,Fats Domino,Fats Domino,Blueberry Hill
1957,49,Del-Vikings,Del-Vikings,Whispering Bells
1957,50,Fats Domino,Fats Domino,Blue Monday
1957,51,Johnny Mathis,Johnny Mathis,Wonderful! Wonderful!
1957,52,Jane Morgan and the Troubadours,Jane Morgan and the Troubadours,Fascination
1957,53,Bobby Helms,Bobby Helms,My Special Angel
1957,54,Billy Ward and His Dominoes,Billy Ward and His Dominoes,Star Dust
1957,55,Bill Justis,Bill Justis,Raunchy
1957,56,Elvis Presley,Elvis Presley,Love Me
1957,57,Harry Belafonte,Harry Belafonte,Jamaica Farewell
1957,58,Pat Boone,Pat Boone,Why Baby Why
1957,59,Betty Johnson,Betty Johnson,I Dreamed
1957,60,Buddy Knox,Buddy Knox,Hula Love
1957,61,Tune Weavers,Tune Weavers,"Happy, Happy Birthday Baby"
1957,62,Ivory Joe Hunter,Ivory Joe Hunter,Since I Met You Baby
1957,63,Jim Reeves,Jim Reeves,Four Walls
1957,64,Jerry Lewis,Jerry Lewis,Rock-a-Bye Your Baby with a Dixie Melody
1957,65,Mantovani,Mantovani,Around the World
1957,66,Tony Bennett,Tony Bennett,In the Middle of an Island
1957,67,Johnnie and Joe,Johnnie and Joe,Over the Mountain Across the Sea
1957,68,Hilltoppers,Hilltoppers,Marianne
1957,69,Don Rondo,Don Rondo,White Silver Sands
1957,70,Four Lads,Four Lads,Who Needs You
1957,71,Ames Brothers,Ames Brothers,Melodie D'Amour
1957,72,Thurston Harris,Thurston Harris,Little Bitty Pretty One
1957,73,Steve Lawrence,Steve Lawrence,Party Doll
1957,74,Coasters,Coasters,Young Blood
1957,75,Victor Young,Victor Young,Around the World
1957,76,Andy Williams,Andy Williams,I Like Your Kind of Love
1957,77,Bonnie Guitar,Bonnie Guitar,Dark Moon
1957,78,Mickey and Sylvia,Mickey and Sylvia,Love Is Strange
1957,79,Chuck Berry,Chuck Berry,Rock and Roll Music
1957,80,Little Richard,Little Richard,Jenny Jenny
1957,81,Pat Boone,Pat Boone,Bernardine
1957,82,Little Richard,Little Richard,Keep a Knockin'
1957,83,Sal Mineo,Sal Mineo,Start Movin'
1957,84,Chuck Willis,Chuck Willis,C.C. Rider
1957,85,Gene Vincent,Gene Vincent,Lotta Lovin'
1957,86,Ernie Freeman,Ernie Freeman,Raunchy
1957,87,Fats Domino,Fats Domino,Valley of Tears
1957,88,Pat Boone,Pat Boone,Remember You're Mine
1957,89,Guy Mitchell,Guy Mitchell,Rock-a-Billy
1957,90,Margie Rayburn,Margie Rayburn,I'm Available
1957,91,Larry Williams,Larry Williams,Bony Maronie
1957,92,Harry Belafonte,Harry Belafonte,Mama Look at Bubu
1957,93,Patience and Prudence,Patience and Prudence,Gonna Get Along Without Ya Now
1957,94,Lavern Baker,Lavern Baker,Jim Dandy
1957,95,Marvin Rainwater,Marvin Rainwater,Gonna Find Me a Bluebird
1957,96,Four Coins,Four Coins,Shangri-La
1957,97,Rusty Draper,Rusty Draper,Freight Train
1957,98,Elvis Presley,Elvis Presley,Loving You
1957,99,Jimmy Bowen,Jimmy Bowen,I'm Sticking with You
1957,100,Joe Bennett and the Sparkletones,Joe Bennett and the Sparkletones,Black Slacks
1958,1,Domenico Modugno,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu)
1958,2,Everly Brothers,Everly Brothers,All I Have To Do Is Dream / Claudette
1958,3,Elvis Presley,Elvis Presley,Don't / I Beg Of You
1958,4,David Seville,David Seville,Witch Doctor
1958,5,Perez Prado,Perez Prado,Patricia
1958,6,Billy Vaughn,Billy Vaughn,Sail Along Silvery Moon / Raunchy
1958,7,Perry Como,Perry Como,Catch A Falling Star / Magic Moments
1958,8,Champs,Champs,Tequila
1958,9,Tommy Edwards,Tommy Edwards,It's All In The Game
1958,10,Dean Martin,Dean Martin,Return To Me
1958,11,Conway Twitty,Conway Twitty,It's Only Make Believe
1958,12,Sheb Wooley,Sheb Wooley,The Purple People Eater
1958,13,Everly Brothers,Everly Brothers,Bird Dog / Devoted To You
1958,14,Silhouettes,Silhouettes,Get A Job
1958,15,Elegants,Elegants,Little Star
1958,16,Ricky Nelson,Ricky Nelson,Stood Up / Waitin' In School
1958,17,Laurie London,Laurie London,He's Got The Whole World In His Hands
1958,18,Platters,Platters,Twilight Time
1958,19,Jimmie Rodgers,Jimmie Rodgers,Secretly
1958,20,Danny and The Juniors,Danny and The Juniors,At The Hop
1958,21,Coasters,Coasters,Yakety Yak
1958,22,Elvis Presley,Elvis Presley,Wear My Ring Around Your Neck / Doncha' Think It's Time
1958,23,Ricky Nelson,Ricky Nelson,Poor Little Fool
1958,24,Pat Boone,Pat Boone,Wonderful Time Up There / It's Too Soon To Know
1958,25,Jimmy Clanton,Jimmy Clanton,Just A Dream
1958,26,McGuire Sisters,McGuire Sisters,Sugartime
1958,27,Bobby Day,Bobby Day,Rockin Robbin / Over And Over
1958,28,Kingston Trio,Kingston Trio,Tom Dooley
1958,29,Chuck Berry,Chuck Berry,Sweet Little Sixteen
1958,30,Cozy Cole,Cozy Cole,Topsy II / Topsy I
1958,31,Nat King Cole,Nat King Cole,Looking Back / Do I Like It
1958,32,Monotones,Monotones,Book Of Love
1958,33,Tommy Dorsey Orch. and Warren Covington,Tommy Dorsey Orch.,Tea For Two Cha Cha
1958,33,Tommy Dorsey Orch. and Warren Covington,Warren Covington,Tea For Two Cha Cha
1958,34,Little Anthony and The Imperials,Little Anthony and The Imperials,Tears On My Pillow
1958,35,Royal Teens,Royal Teens,Short Shorts
1958,36,Jerry Lee Lewis,Jerry Lee Lewis,Great Balls Of Fire
1958,37,Chordettes,Chordettes,Lollipop
1958,38,Bobby Darin,Bobby Darin,Splish Splash
1958,39,Connie Francis,Connie Francis,Who's Sorry Now
1958,40,Jack Scott,Jack Scott,My True Love / Leroy
1958,41,Jody Reynolds,Jody Reynolds,Endles Sleep
1958,42,Bobby Freeman,Bobby Freeman,Do You Want To Dance?
1958,43,Kalin Twins,Kalin Twins,When
1958,44,Teddy Bears,Teddy Bears,To Know Him Is To Love Him
1958,45,Pat Boone,Pat Boone,April Love
1958,46,Duane Eddy,Duane Eddy,Rebel-'Rouser
1958,47,Crescendos,Crescendos,Oh Julie
1958,48,Diamonds,Diamonds,The Stroll
1958,49,Elvis Presley,Elvis Presley,Hard-Headed Woman / Don't Ask Me Why
1958,50,Buddy Holly,Buddy Holly,Peggy Sue
1958,51,Don Gibson,Don Gibson,Oh Lonesome Me
1958,52,The Big Bopper,The Big Bopper,Chantilly Lace
1958,53,Rick Nelson,Rick Nelson,Lonesome Town
1958,54,Frank Sinatra,Frank Sinatra,All the Way
1958,55,Elvis Presley,Elvis Presley,One Night
1958,56,Robin Luke,Robin Luke,Susie Darlin'
1958,57,Four Preps,Four Preps,26 Miles
1958,58,Earl Grant,Earl Grant,The End
1958,59,Jimmie Rodgers,Jimmie Rodgers,Kisses Sweeter Than Wine
1958,60,Playmates,Playmates,Beep Beep (The Little Nash Rambler)
1958,61,Mitch Miller,Mitch Miller,March From the River Kwai and Colonel Bogey March
1958,62,Everly Brothers,Everly Brothers,Problems
1958,63,Bobby Darin,Bobby Darin,Queen of the Hop
1958,64,Will Glahe,Will Glahe,Liechtensteiner Polka
1958,65,Elvis Presley,Elvis Presley,I Got Stung
1958,66,Andy Williams,Andy Williams,Are You Sincere
1958,67,Ricky Nelson,Ricky Nelson,I Got a Feeling
1958,68,Poni Tails,Poni Tails,Born Too Late
1958,69,Johnny Otis Show,Johnny Otis Show,Willie and the Hand Jive
1958,70,Four Preps,Four Preps,Big Man
1958,71,Crickets,Crickets,Oh Boy
1958,72,Chuck Willis,Chuck Willis,What Am I Living For
1958,73,Chuck Berry,Chuck Berry,Johnny B Goode
1958,74,Eddie Cochran,Eddie Cochran,Summertime Blues
1958,75,Roger Williams,Roger Williams,Near You
1958,76,Peggy Lee,Peggy Lee,Fever
1958,77,Ed Townsend,Ed Townsend,For Your Love
1958,78,Paul Anka,Paul Anka,You Are My Destiny
1958,79,Art and Dotty Todd,Art and Dotty Todd,Chanson D'Amour (Song of Love)
1958,80,Lou Monte,Lou Monte,Lazy Mary
1958,81,Johnny Cash,Johnny Cash,Ballad of a Teenage Queen
1958,82,Pat Boone,Pat Boone,It's Too Soon to Know
1958,83,Jimmy McCracklin,Jimmy McCracklin,The Walk
1958,84,Perry Como,Perry Como,Kewpie Doll
1958,85,George Hamilton Iv,George Hamilton Iv,Why Don't They Understand
1958,86,Frankie Avalon,Frankie Avalon,Dede Dinah
1958,87,Pat Boone,Pat Boone,Sugar Moon
1958,88,Everly Brothers,Everly Brothers,Devoted to You
1958,89,Chantels,Chantels,Maybe
1958,90,Kathy Linden,Kathy Linden,Billy
1958,91,Johnny Cash,Johnny Cash,Guess Things Happen That Way
1958,92,Olympics,Olympics,Western Movies
1958,93,Roy Hamilton,Roy Hamilton,Don't Let Go
1958,94,Hollywood Flames,Hollywood Flames,Buzz-Buzz-Buzz
1958,95,Jerry Lee Lewis,Jerry Lee Lewis,Breathless
1958,96,Jan and Arnie,Jan and Arnie,Jennie Lee
1958,97,Royaltones,Royaltones,Poor Boy
1958,98,Marty Robins,Marty Robins,The Story of My Life
1958,99,Frankie Avalon,Frankie Avalon,I'll Wait For You
1958,100,Frankie Avalon,Frankie Avalon,Ginger Bread
1959,1,Johnny Horton,Johnny Horton,The Battle Of New Orleans
1959,2,Bobby Darin,Bobby Darin,Mack The Knife
1959,3,Lloyd Price,Lloyd Price,Personality
1959,4,Frankie Avalon,Frankie Avalon,Venus
1959,5,Paul Anka,Paul Anka,Lonely Boy
1959,6,Bobby Darin,Bobby Darin,Dream Lover
1959,7,Browns,Browns,The Three Bells
1959,8,Fleetwoods,Fleetwoods,Come Softly To Me
1959,9,Wilbert Harrison,Wilbert Harrison,Kansas City
1959,10,Fleetwoods,Fleetwoods,Mr. Blue
1959,11,Santo and Johnny,Santo and Johnny,Sleep Walk
1959,12,Paul Anka,Paul Anka,Put Your Head On My Shoulder
1959,13,Lloyd Price,Lloyd Price,Stagger Lee
1959,14,Ritchie Valens,Ritchie Valens,Donna
1959,15,Dodie Stevens,Dodie Stevens,Pink Shoelaces
1959,16,Platters,Platters,Smoke Gets In Your Eyes
1959,17,The Coasters,The Coasters,Charlie Brown
1959,18,Martin Denny,Martin Denny,Quiet Village
1959,19,Carl Dobkins Jr.,Carl Dobkins Jr.,My Heart Is An Open Book
1959,20,Everly Brothers,Everly Brothers,('Til) I Kissed You
1959,21,Phil Phillips and The Twilights,Phil Phillips and The Twilights,Sea Of Love
1959,22,"Dave ""Baby"" Cortez","Dave ""Baby"" Cortez",The Happy Organ
1959,23,Lloyd Price,Lloyd Price,I'm Gonna Get Married
1959,24,Impalas,Impalas,Sorry (I Ran All The Way Home)
1959,25,Dion and The Belmonts,Dion and The Belmonts,A Teenager In Love
1959,26,Crests,Crests,16 Candles
1959,27,Brook Benton,Brook Benton,It's Just A Matter Of Time
1959,28,Connie Francis,Connie Francis,Lipstick On Your Collar
1959,29,Drifters,Drifters,There Goes My Baby
1959,30,Elvis Presley,Elvis Presley,A Big Hunk O' Love
1959,31,Johnny and The Hurricanes,Johnny and The Hurricanes,Red River Rock
1959,32,Stonewall Jackson,Stonewall Jackson,Waterloo
1959,33,Sammy Turner,Sammy Turner,Lavender Blue (Dilly Dilly)
1959,34,Elvis Presley,Elvis Presley,(Now And Then There's) A Fool Such As I
1959,35,The Virtues,The Virtues,Guitar Boogie Shuffle
1959,36,Sandy Nelson,Sandy Nelson,Teen Beat
1959,37,Edward Burns and Connie Stevens,Edward Burns,Kookie Kookie (Lend Me Your Comb)
1959,37,Edward Burns and Connie Stevens,Connie Stevens,Kookie Kookie (Lend Me Your Comb)
1959,38,Thomas Wayne,Thomas Wayne,Tragedy
1959,39,Connie Francis,Connie Francis,My Happiness
1959,40,Freddie Cannon,Freddie Cannon,Talahassee Lassie
1959,41,Fabian,Fabian,Tiger
1959,42,Ricky Nelson,Ricky Nelson,Never Be Anyone Else But You
1959,43,Della Reese,Della Reese,Don't You Know
1959,44,Elvis Presley,Elvis Presley,I Need Your Love Tonight
1959,45,Dinah Washington,Dinah Washington,What A Diff'rence A Day Makes
1959,46,Bill Parsons,Bill Parsons,The All American Boy
1959,47,Jerry Wallace,Jerry Wallace,Primrose Lane
1959,48,David Seville and The Chipmunks,David Seville and The Chipmunks,Alvin's Harmonica
1959,49,Andy Williams,Andy Williams,Lonely Street
1959,50,Ray Charles,Ray Charles,What'd I Say
1959,51,Sarah Vaughan,Sarah Vaughan,Broken-hearted Melody
1959,52,Franck Pourcel,Franck Pourcel,Only You
1959,53,Billy Grammer,Billy Grammer,Gotta Travel On
1959,54,Coasters,Coasters,Poison Ivy
1959,55,Fabian,Fabian,Turn Me Loose
1959,56,Jackie Wilson,Jackie Wilson,Lonely Teardrops
1959,57,Andy Williams,Andy Williams,Hawaiian Wedding Song
1959,58,Duane Eddy,Duane Eddy,Forty Miles Of Bad Road
1959,59,Frankie Avalon,Frankie Avalon,Just Ask Your Heart
1959,60,Travis and Bob,Travis and Bob,Tell Him No
1959,61,Connie Francis,Connie Francis,Frankie
1959,62,The Bell Notes,The Bell Notes,I've Had It
1959,63,Lavern Baker,Lavern Baker,I Cried A Tear
1959,64,Platters,Platters,Enchanted
1959,65,Skyliners,Skyliners,Since I Don't Have You
1959,66,Ray Anthony,Ray Anthony,Peter Gunn Theme
1959,67,David Seville and The Chipmunks,David Seville and The Chipmunks,The Chipmunk Song
1959,68,Fats Domino,Fats Domino,I Want To Walk You Home
1959,69,Fiestas,Fiestas,So Fine
1959,70,Frankie Avalon,Frankie Avalon,Bobby Sox To Stockings
1959,71,Wink Martindale,Wink Martindale,Deck Of Cards
1959,72,Clyde Mcphatter,Clyde Mcphatter,A Lover's Question
1959,73,Flamingos,Flamingos,I Only Have Eyes For You
1959,74,Ricky Nelson,Ricky Nelson,It's Late
1959,75,Chris Barber's Jazz Band,Chris Barber's Jazz Band,Petite Fleur
1959,76,Annette,Annette,Tall Paul
1959,77,Kingston Trio,Kingston Trio,The Tijuana Jail
1959,78,Ricky Nelson,Ricky Nelson,Just A Little Too Much
1959,79,Jack Scott,Jack Scott,Goodbye Baby
1959,80,Coasters,Coasters,Along Came Jones
1959,81,Tommy Dee and Carol Kay,Tommy Dee,Three Stars
1959,81,Tommy Dee and Carol Kay,Carol Kay,Three Stars
1959,82,Frankie Avalon,Frankie Avalon,A Boy Without A Girl
1959,83,Ricky Nelson,Ricky Nelson,Sweeter Than You
1959,84,Skip and Flip,Skip and Flip,It Was I
1959,85,Kathy Linden,Kathy Linden,"Goodbye, Jimmy, Goodbye"
1959,86,Reg Owens Orch.,Reg Owens Orch.,Manhattan Spiritual
1959,87,Brook Benton,Brook Benton,Endlessly
1959,88,Guy Mitchell,Guy Mitchell,Heartaches By The Number
1959,89,Frankie Ford,Frankie Ford,Sea Cruise
1959,90,Jackie Wilson,Jackie Wilson,That's Why
1959,91,Falcons,Falcons,You're So Fine
1959,92,Bobby Rydell,Bobby Rydell,Kissin' Time
1959,93,Elvis Presley,Elvis Presley,My Wish Came True
1959,94,Ivo Robic,Ivo Robic,Morgen
1959,95,Jan and Dean,Jan and Dean,Baby Talk
1959,96,Preston Epps,Preston Epps,Bongo Rock
1959,97,Everly Brothers,Everly Brothers,Take A Message To Mary
1959,98,Mormon Tabernacle Choir,Mormon Tabernacle Choir,Battle Hymn Of The Republic
1959,99,Ernie Fields Orchestra,Ernie Fields Orchestra,In The Mood
1959,100,Paul Evans and The Curls,Paul Evans and The Curls,(Seven Little Girls) Sitting In The Back Seat
1960,1,Percy Faith,Percy Faith,"Theme From ""A Summer Place"""
1960,2,Jim Reeves,Jim Reeves,He'll Have To Go
1960,3,Everly Brothers,Everly Brothers,Cathy's Clown
1960,4,Johnny Preston,Johnny Preston,Running Bear
1960,5,Mark Dinning,Mark Dinning,Teen Angel
1960,6,Brenda Lee,Brenda Lee,I'm Sorry
1960,7,Elvis Presley,Elvis Presley,It's Now Or Never
1960,8,Jimmy Jones,Jimmy Jones,Handy Man
1960,9,Elvis Presley,Elvis Presley,Stuck On You
1960,10,Chubby Checker,Chubby Checker,The Twist
1960,11,Connie Francis,Connie Francis,Everybody's Somebody's Fool
1960,12,Bobby Rydell,Bobby Rydell,Wild One
1960,13,Brothers Four,Brothers Four,Greenfields
1960,14,Jack Scott,Jack Scott,What In The World's Come Over You
1960,15,Marty Robbins,Marty Robbins,El Paso
1960,16,Hollywood Argyles,Hollywood Argyles,Alley Oop
1960,17,Connie Francis,Connie Francis,My Heart Has A Mind Of Its Own
1960,18,Brenda Lee,Brenda Lee,Sweet Nothin's
1960,19,Brian Hyland,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini
1960,20,Roy Orbison,Roy Orbison,Only The Lonely
1960,21,Dion and The Belmonts,Dion and The Belmonts,Where Or When
1960,22,Connie Stevens,Connie Stevens,Sixteen Reasons
1960,23,Paul Anka,Paul Anka,Puppy Love
1960,24,Frankie Avalon,Frankie Avalon,Why
1960,25,Ventures,Ventures,"Walk, Dont Run"
1960,26,Drifters,Drifters,Save The Last Dance For Me
1960,27,Brook Benton and Dinah Washington,Brook Benton,Baby (You Got What It Takes)
1960,27,Brook Benton and Dinah Washington,Dinah Washington,Baby (You Got What It Takes)
1960,28,Johnny Horton,Johnny Horton,Sink The Bismark
1960,29,Sam Cooke,Sam Cooke,Chain Gang
1960,30,Everly Brothers,Everly Brothers,Let It Be Me
1960,31,Jimmy Jones,Jimmy Jones,Good Timin'
1960,32,Bobby Darin,Bobby Darin,Beyond The Sea
1960,33,Jimmy Clanton,Jimmy Clanton,Go Jimmy Go
1960,34,Jackie Wilson,Jackie Wilson,Night
1960,35,Jack Scott,Jack Scott,Burning Bridges
1960,36,Toni Fisher,Toni Fisher,The Big Hurt
1960,37,Duane Eddy,Duane Eddy,Because They're Young
1960,38,Conway Twitty,Conway Twitty,Lonely Blue Boy
1960,39,Steve Lawrence,Steve Lawrence,Pretty Blue Eyes
1960,40,Freddie Cannon,Freddie Cannon,Way Down Yonder In New Orleans
1960,41,Anita Bryant,Anita Bryant,Paper Roses
1960,42,Larry Verne,Larry Verne,Mr. Custer
1960,43,Brenda Lee,Brenda Lee,I Want To Be Wanted
1960,44,Fendermen,Fendermen,Mule Skinner Blues
1960,45,Johnny Preston,Johnny Preston,Cradle Of Love
1960,46,Marv Johnson,Marv Johnson,You've Got What It Takes
1960,47,Hank Locklin,Hank Locklin,"Please Help Me, I'm Falling"
1960,48,Ron Holden,Ron Holden,Love You So
1960,49,Hank Ballard and The Midnighters,Hank Ballard and The Midnighters,Finger Poppin' Time
1960,50,Platters,Platters,Harbor Lights
1960,51,Billy Bland,Billy Bland,Let The Little Girl Dance
1960,52,Jeanne Black,Jeanne Black,He'll Have To Stay
