quiz,url,result,name,description,headline,image
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,10,Ronald Reagan,"You’ve been a natural leader from a young age. People gravitate toward you. You have a number of goals, but at the end of the day, you really want to just believe in yourself and help others to believe in themselves too.",You got: Ronald Reagan,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr02/4/17/4456ece04744d84b0f41e568e145c0c1-11.jpg
Which U.S. President Are You?,http://www.buzzfeed.com/laraparker/which-us-president-are-you,11,Thomas Jefferson,"You grew up fast, but you grew up right. You are bold, you make big moves… and we can only admire you for it. You’ve got the brains and the wit to back it up. Can’t hold you down… but why would we try?",You got: Thomas Jefferson,http://s3-ak.buzzfeed.com/static/2014-03/tmp/webdr05/4/17/d35efbf9fbd0aa579657a2669dfe3869-0.jpg
What Should You Actually Eat For Lunch?,http://www.buzzfeed.com/joannaborns/what-should-you-eat-for-lunch,0,A sandwich,"Look, this is the classic standby for a reason. Don’t fight it. Get a bunch of stuff all up in some bread the way lunch is supposed to be. You’re a reasonable person. So go eat a sandwich.",You got: A sandwich,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/25/0/enhanced-buzz-8633-1393307748-4.jpg
What Should You Actually Eat For Lunch?,http://www.buzzfeed.com/joannaborns/what-should-you-eat-for-lunch,1,Soup,"You look like you could use a nice, hot, liquid hug. That’s what soup is! Are you feeling vulnerable? Don’t worry, soup is there to make you feel safe. It’s not here to judge—it’s here to love. Isn’t that what you really want? Go eat some soup.",You got: Soup,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/25/1/enhanced-buzz-8144-1393308020-3.jpg
What Should You Actually Eat For Lunch?,http://www.buzzfeed.com/joannaborns/what-should-you-eat-for-lunch,2,Ice Cream,"Ignore the haters. You can eat WHATEVER YOU WANT. There are no rules. The ice cream is calling to you. And if someone says ""Ice cream doesn’t really sound like a lunch food,"" you slap that person right in the face, or at the very least cut them from your life forever. Go team ice cream!",You got: Ice Cream,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr02/25/1/enhanced-buzz-11937-1393308069-14.jpg
What Should You Actually Eat For Lunch?,http://www.buzzfeed.com/joannaborns/what-should-you-eat-for-lunch,3,A Salad,"Sorry. You got salad. Go eat your salad and try not to cry. And if you love salad, well, congratulations. Why don’t you marry it?",You got: A Salad,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr08/25/1/enhanced-buzz-511-1393308268-20.jpg
What Should You Actually Eat For Lunch?,http://www.buzzfeed.com/joannaborns/what-should-you-eat-for-lunch,4,Pasta,YES EAT PASTA NOW. The dark horse of lunch. Maybe it’s not the best life decision. Or maybe IT IS.,You got: Pasta,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/25/1/enhanced-buzz-10154-1393308301-13.jpg
What Should You Actually Eat For Lunch?,http://www.buzzfeed.com/joannaborns/what-should-you-eat-for-lunch,5,A Burrito,"Oooh baby, do you know what that’s worth? Oooo heaven is a burrito for lunch. Stop doubting and go put a burrito in your face right now.",You got: A Burrito,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr04/25/1/enhanced-buzz-1411-1393308393-18.jpg
Are You Cool?,http://www.buzzfeed.com/joannaborns/quiz-are-you-cool,0,You are cool.,You’re one of the cool ones. No one taught you how. You just are. You can’t even help it. If you tried to be uncool you would probably just be even cooler. Ice cold.,You got: You are cool.,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/11/16/enhanced-buzz-14330-1392154710-4.jpg
Are You Cool?,http://www.buzzfeed.com/joannaborns/quiz-are-you-cool,1,You are not cool.,But you probably know this already. You probably also already know that being cool is one of the most overrated things there is. Even more overrated than a croissant-donut hybrid. Your strengths are far less superficial.,You got: You are not cool.,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/11/16/enhanced-buzz-7280-1392155480-4.jpg
Are You Cool?,http://www.buzzfeed.com/joannaborns/quiz-are-you-cool,2,Straddling the line between cool and uncool.,Sometimes you do things that are legit cool. And then other times… you know what you’ve done. It definitely wasn’t cool. They should call you Johnny Cash because you walk the line between cool and just… something else.,You got: Straddling the line between cool and uncool.,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr02/11/16/enhanced-buzz-31442-1392155706-10.jpg
Are You A Hipster?,http://www.buzzfeed.com/katienotopoulos/are-you-a-hipster,0,Not a hipster,You like normal stuff and you’re not a jerk. Congrats!,You got: Not a hipster,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/7/15/enhanced-buzz-27336-1391803635-6.jpg
Are You A Hipster?,http://www.buzzfeed.com/katienotopoulos/are-you-a-hipster,1,Hipster,"Admit it, you’re secretly pleased you got this, aren’t you?",You got: Hipster,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/7/15/enhanced-buzz-27570-1391803456-24.jpg
Are You A Hipster?,http://www.buzzfeed.com/katienotopoulos/are-you-a-hipster,2,Insufferable hipster scum,You’re the worst.,You got: Insufferable hipster scum,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr02/7/15/enhanced-buzz-20816-1391803398-15.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,0,Comic Sans,"Who cares if people don’t take you seriously? You’re the life of the goddamn party and you don’t care who knows it. You’ve been injecting fun into takeout menus and doctor’s offices since before your haters were born, and you’ll be there when they’re gone.",You got: Comic Sans,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/11/10/enhanced-buzz-16419-1392132177-0.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,1,Times New Roman,"You’re a classic â a constant, reliable, secretly sexy classic. (Just look at those serifs!) Anyone who thinks they can turn in a term paper or a resumÃ© that doesn’t feature you is fooling themselves, and you’ll be laughing all the way to the bank.",You got: Times New Roman,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr03/11/10/enhanced-buzz-19150-1392132313-3.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,2,Helvetica,"Daaaaamn baby. You’re a study in contrasts â noticeable because of your unnoticeability, skinny but curvy, the supreme overlord of any room without having to say a word. This is your year â no, your millennium â and the rest of the world is just watching you. 

(Also once there was a documentary about you and it probably got a bunch of nerds laid.)",You got: Helvetica,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr02/11/10/enhanced-buzz-17784-1392132532-0.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,3,Courier,"You’ve had something of a tough life, buddy. You used to be everywhere, in all your not-a-typewriter-not-yet-a-laptop glory, until you were cruelly pushed aside by the ""more readable"" Times New Roman (ugh w/e). But you’re strong, and individual, and you’ve managed to rise above and claim your place in the world.",You got: Courier,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr02/11/10/enhanced-buzz-16707-1392132906-0.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,4,Garamond,"Pardon me, kind sir, for I knew not that I was in the presence of such a noble lord as thou when inscribing this lowly internet quiz. Here, let me help thee into thine chair, and please accept mine peasant head as payment for having ever inconvenienced thee.",You got: Garamond,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr07/11/10/enhanced-buzz-13825-1392133539-12.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,5,Wingdings,"You crazy kid. You batshit, beautiful, crazy-ass kid.",You got: Wingdings,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr07/11/10/enhanced-buzz-15044-1392133586-3.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,6,A super twee handwriting font that nobody’s handwriting actually resembles,"Q: How many mason jars is too many?
A: Shut up or I’ll knit you to death.",You got: A super twee handwriting font that nobody’s handwriting actually resembles,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr04/11/10/enhanced-buzz-23775-1392133741-14.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,7,Lumos,You’re sheer magic.,You got: Lumos,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr02/11/10/enhanced-buzz-17784-1392133896-2.jpg
What Font Are You?,http://www.buzzfeed.com/alannaokun/what-font-are-you,8,Futura,"You’re sleek as hell and a total individual. You know everything about everything, and if you don’t, you can just fake it. You know that million-dollar idea you had last week when you were drunk? Go for it, champ.",You got: Futura,http://s3-ak.buzzfeed.com/static/2014-02/enhanced/webdr06/11/10/enhanced-buzz-18350-1392134000-7.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,0,Box Of Hangers,"You’re a box of hangers! Maybe you’ll come in handy one day. You’re persistent, ever present. You’re always there, lurking. Your purpose in life is clear, though not always necessary.",You got: Box Of Hangers,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr03/31/16/enhanced-buzz-19872-1391204299-39.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,1,A Big Rusty Hook,"You’re a big rusty hook! Lookout, you’re gonna give someone tetanus. On the bright side, you’re handy for hooking a lot of stuff.",You got: A Big Rusty Hook,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr06/31/16/enhanced-buzz-28870-1391204835-5.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,2,Subway Jared’s Big Pants,Remember Jared and his big pants? Those pants are you! You serve as a constant reminder that we all have demons. And we CAN beat those demons with the right combination of lunch meats,You got: Subway Jared’s Big Pants,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr03/31/16/enhanced-buzz-449-1391205316-9.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,3,A Handful Of Beans,"You’re a handful of beans! You’re so full of possibility—nutrition, protein, the hope for the future harvest. You’re so simple and yet so beautiful.",You got: A Handful Of Beans,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr03/31/16/enhanced-buzz-31984-1391205552-14.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,4,A 2 Liter Bottle Of Generic Soda Pop,"You’re a 2 liter bottle of generic soda pop! You might raise some eyebrows but you get the job done. Get outta town, snobs.",You got: A 2 Liter Bottle Of Generic Soda Pop,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr07/31/17/enhanced-buzz-22204-1391206430-20.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,5,A New York Times Trend Story,"You’re a New York Times trend story! Are more people eating lunch? Are hats gaining traction? Is there an epidemic of teens going out at night and digging holes? Everyone can find out tons of ground breaking, definitely trendy stuff from you!",You got: A New York Times Trend Story,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr06/31/17/enhanced-buzz-28234-1391207080-19.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,6,A Bunch Of Dead AA Batteries,"You’re a bunch of dead AA batteries! What are we gonna do with you? You’re always around. Cheerfully peeking out of junk drawers. You may be out of power, but at least you’re ubiquitous.",You got: A Bunch Of Dead AA Batteries,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr05/31/17/enhanced-buzz-5545-1391207567-17.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,7,The Baha Men,You’re the Baha Men! You’ve made your mark on history with one very important question. A question that may never really have an answer. You’re always solving dog-related mysteries.,You got: The Baha Men,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr06/31/17/enhanced-buzz-28843-1391207771-27.jpg
What Arbitrary Thing Are You?,http://www.buzzfeed.com/joannaborns/what-arbitrary-thing-are-you,8,A Really Fat Squirrel,"You’re a really fat squirrel! What have you been eating? Every nut ever? That’s OK, you win at hibernation so hard.",You got: A Really Fat Squirrel,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr07/31/17/enhanced-buzz-29258-1391207850-9.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,0,Sally Fowler,"You’re the leader of the pack â the SFRP, that is. You love being the center of attention, and everyone admires you for your impeccable style, your amazing friends, and your great parties. Just don’t let it go to your pretty little head.",You got: Sally Fowler,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr06/30/15/enhanced-buzz-13467-1391113577-1.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,1,Audrey Rouget,"You may not be the loudest person in the room, but you’re probably the most well-read â and just because you don’t want to be the center of attention doesn’t mean you don’t have strong opinions. (You do.) Just don’t let new friends think that your quiet fortitude is actually meekness.",You got: Audrey Rouget,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr06/30/15/enhanced-buzz-30564-1391113699-15.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,2,Nick Smith,"You make friends really easily â you can talk to anyone and you’re incredibly charismatic â which has made for some interesting evenings over the years. Just make sure that you use your powers for good, not evil.",You got: Nick Smith,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr05/30/15/enhanced-buzz-1216-1391113759-19.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,3,Rick Von Sloneker,"Look at you, hot stuff. You love yourself and for good reason: men and women alike are constantly fighting for your attention. Just try not to make everyone too jealous.",You got: Rick Von Sloneker,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr02/30/15/enhanced-buzz-11714-1391114621-13.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,4,Alice Kinnon,"You’re new in town and a real go-getter, even if sometimes you don’t know exactly what you’re going after. But be careful: because you’re so nice, you might fall in with the wrong crowd.",You got: Alice Kinnon,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr05/30/15/enhanced-buzz-7640-1391114925-16.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,5,Charlotte Pingress,"It’s not easy being so pretty, accomplished, and popular! That’s probably how you always get what you want.",You got: Charlotte Pingress,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr07/30/15/enhanced-buzz-26350-1391114037-14.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,6,Des McGrath,"You’ve come a long way, baby â thanks to a lot of nights on friends’ couches and dinners where you ""forgot"" your credit card. Your friends caught on ages ago, but you’re such entertaining company most of the time that they don’t really mind… much.",You got: Des McGrath,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr02/30/15/enhanced-buzz-11714-1391114102-11.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,7,Fred Neff,"You used to be the last man standing (or at least the last one to pass out), but ever since that one night (you know the one) you’ve gotten yourself together. Congratulations on turning your life around!",You got: Fred Neff,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr02/30/16/enhanced-buzz-24395-1391115740-0.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,8,Departmental Dan,"You’ve got a set of strongly held values and beliefs, and you don’t care if everyone knows it. So don’t be offended if you stop getting invited to your colleagues’ after-work drinks â it’s just that they don’t want to hear your refugees speech again.",You got: Departmental Dan,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr05/30/15/enhanced-buzz-8769-1391115238-23.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,9,Violet Wister,"It’s hard being the one coming up with the ideas and doing all the work, especially when it’s for such a good cause. People don’t always understand you, but that’s okay because you know that you’re a good person.",You got: Violet Wister,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr02/30/15/enhanced-buzz-22840-1391115316-0.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,10,Ted Boynton,"Everyone respects how earnest and sweet you are, but â real talk â you could loosen up a bit and drop the old-fashioned shtick. Your goal for 2014 should be to use Snapchat more.",You got: Ted Boynton,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr06/30/15/enhanced-buzz-7606-1391115433-3.jpg
Which Whit Stillman Movie Character Are You?,http://www.buzzfeed.com/doree/which-whit-stillman-character-are-you,11,Tom Townsend,You have really strong opinions â even about things that you don’t necessarily know much about â and you love a good debate. Just be careful about crossing the line into sanctimony â no one likes the guy who’s always talking about how he’s not on Facebook.,You got: Tom Townsend,http://s3-ak.buzzfeed.com/static/2014-01/enhanced/webdr06/30/15/enhanced-buzz-6989-1391115557-5.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,0,Agent Dale Cooper,Ain’t nothin’ like a damn fine cup of coffee.,You got: Agent Dale Cooper,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr05/19/15/enhanced-buzz-1512-1387484004-9.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,1,Sheriff Harry S. Truman,You’re a mighty fine local law man.,You got: Sheriff Harry S. Truman,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr05/19/15/enhanced-buzz-1582-1387484142-12.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,2,Lucy Moran,""" I work for the Sheriff—you could’a dialed 9-1-1.""",You got: Lucy Moran,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr02/19/15/enhanced-buzz-25611-1387484402-2.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,3,Bobby Briggs,"""You think because I wasn’t at football practice that I killed my girlfriend?""",You got: Bobby Briggs,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr06/19/15/enhanced-buzz-1104-1387484531-5.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,4,Donna Hayward,Let’s hope you don’t have a boyfriend as boring as James.,You got: Donna Hayward,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr06/19/15/enhanced-buzz-1106-1387484949-13.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,5,Audrey Horne,You’re definitely up to something.,You got: Audrey Horne,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr03/19/15/enhanced-buzz-25981-1387485182-15.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,6,Laura Palmer,"Well, well, well, looks like you’re an enigma, wrapped in a mystery. A murder mystery.",You got: Laura Palmer,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr06/19/15/enhanced-buzz-1255-1387485341-18.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,7,The Log Lady,"Nice log, lady.",You got: The Log Lady,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr02/19/15/enhanced-buzz-25448-1387485399-10.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,8,Josie Packard,Stop toying with everyone’s hearts!,You got: Josie Packard,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr07/19/15/enhanced-buzz-577-1387485437-20.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,9,Leo Johnson,You’re a pretty bad dude.,You got: Leo Johnson,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr01/19/15/enhanced-buzz-9661-1387485519-12.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,10,BOB,"Uh oh, nobody wants to fire walk with you.",You got: BOB,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr01/19/15/enhanced-buzz-9667-1387485602-12.jpg
"Which ""Twin Peaks"" Character Are You?",http://www.buzzfeed.com/joannaborns/which-twin-peaks-character-are-you,11,Maddy Ferguson,NERD,You got: Maddy Ferguson,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr06/19/15/enhanced-buzz-1270-1387485651-10.jpg
How Big Of A Dick Are You?,http://www.buzzfeed.com/justinabarca/are-you-a-dick,0,"You, my friend, are a gentleman and a scholar.","You are probably great at ping-pong, too, so that’s pretty cool.","You got: You, my friend, are a gentleman and a scholar.",http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr05/16/18/enhanced-buzz-21453-1387235705-11.jpg
How Big Of A Dick Are You?,http://www.buzzfeed.com/justinabarca/are-you-a-dick,1,Complete and total DICK.,"It’s OK, since you probably think quizzes like this are bullshit and for pussies. Time to drink a Monster and watch some Finding Bigfoot .",You got: Complete and total DICK.,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr05/16/18/enhanced-buzz-21322-1387235723-11.jpg
How Big Of A Dick Are You?,http://www.buzzfeed.com/justinabarca/are-you-a-dick,2,Dick-in-training,"There is still some hope for you, but you are one tribal tattoo away from being a full-fledged dick. So, y’know, don’t do that.",You got: Dick-in-training,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr01/17/12/enhanced-buzz-7998-1387301645-13.jpg
How Big Of A Dick Are You?,http://www.buzzfeed.com/justinabarca/are-you-a-dick,3,Congrats! You’re a prick!,"You’re not really a dick, but you do think your shit don’t stink and that you are better than everyone. Now that I think of it, yeah, you are a dick.",You got: Congrats! You’re a prick!,http://s3-ak.buzzfeed.com/static/2013-12/enhanced/webdr07/17/12/enhanced-buzz-22191-1387302369-2.jpg
What Type Of Gchatter Are You?,http://www.buzzfeed.com/katieheaney/what-type-of-gchatter-are-you,0,You Are A Gchat Genius,"Or maniac! Maybe the right word is actually ""maniac."" You are the type of person who, on Sunday evenings, starts to look forward to Mondays, because of Gchat. Your Gchatting style is more central to your identity than your fingerprint. On Gchat you are both a charming storyteller and a great listener. Gchat is (if we’re being kind) a third of your social life, and while that’s not the worst thing in the world, you could afford to go outside once in a while.",You got: You Are A Gchat Genius,
What Type Of Gchatter Are You?,http://www.buzzfeed.com/katieheaney/what-type-of-gchatter-are-you,1,You Are a Gchat Graduate,"You’ve got the basics mastered and are gaining more expertise each day. People like talking to you on Gchat because you’re fun and laid-back âÂ in fact, your approach leaves an air of mystery hanging over your chat windows that leaves most people you talk to wanting more. No, really: why haven’t you responded yet?? Ahhhh, haha, it’s fine, you’re just so INTERESTING.",You got: You Are a Gchat Graduate,
What Type Of Gchatter Are You?,http://www.buzzfeed.com/katieheaney/what-type-of-gchatter-are-you,2,You Are A Gchat Greenhorn,You’re just enough into Gchat that it makes everyone you half-assedly talk to think you’re holding back only with them while holding full and fabulously entertaining conversations with everyone else. Get in or get out! This is not a game! This is the future!,You got: You Are A Gchat Greenhorn,
