league,year,series,team,games_won,games_played,won_series
mlb,2001,nlcs,Arizona Diamondbacks,4,5,1
mlb,2000,nlcs,New York Mets,4,5,1
mlb,1999,nlcs,Atlanta Braves,4,6,1
mlb,1998,nlcs,San Diego Padres,4,6,1
mlb,1997,nlcs,Florida Marlins,4,6,1
mlb,1996,nlcs,Atlanta Braves,4,7,1
mlb,1995,nlcs,Atlanta Braves,4,4,1
mlb,1993,nlcs,Philadelphia Phillies,4,6,1
mlb,1992,nlcs,Atlanta Braves,4,7,1
mlb,1991,nlcs,Atlanta Braves,4,7,1
mlb,1990,nlcs,Cincinnati Reds,4,6,1
mlb,1989,nlcs,San Francisco Giants,4,5,1
mlb,1988,nlcs,Los Angeles Dodgers,4,7,1
mlb,1987,nlcs,St. Louis Cardinals,4,7,1
mlb,1986,nlcs,New York Mets,4,6,1
mlb,1985,nlcs,St. Louis Cardinals,4,6,1
mlb,1984,nlcs,San Diego Padres,3,5,1
mlb,1983,nlcs,Philadelphia Phillies,3,4,1
mlb,1982,nlcs,St. Louis Cardinals,3,3,1
mlb,1981,nlcs,Los Angeles Dodgers,3,5,1
mlb,1980,nlcs,Philadelphia Phillies,3,5,1
mlb,1979,nlcs,Pittsburgh Pirates,3,3,1
mlb,1978,nlcs,Los Angeles Dodgers,3,4,1
mlb,1977,nlcs,Los Angeles Dodgers,3,4,1
mlb,1976,nlcs,Cincinnati Reds,3,3,1
mlb,1975,nlcs,Cincinnati Reds,3,3,1
mlb,1974,nlcs,Los Angeles Dodgers,3,4,1
mlb,1973,nlcs,New York Mets,3,5,1
mlb,1972,nlcs,Cincinnati Reds,3,5,1
mlb,1971,nlcs,Pittsburgh Pirates,3,4,1
mlb,1970,nlcs,Cincinnati Reds,3,3,1
mlb,1969,nlcs,New York Mets,3,3,1
mlb,2012,ws,San Francisco Giants,4,4,1
mlb,2011,ws,St. Louis Cardinals,4,7,1
mlb,2010,ws,San Francisco Giants,4,5,1
mlb,2009,ws,New York Yankees,4,6,1
mlb,2008,ws,Philadelphia Phillies,4,5,1
mlb,2007,ws,Boston Red Sox,4,4,1
mlb,2006,ws,St. Louis Cardinals,4,5,1
mlb,2005,ws,Chicago White Sox,4,4,1
mlb,2004,ws,Boston Red Sox,4,4,1
mlb,2003,ws,Florida Marlins,4,6,1
mlb,2002,ws,Anaheim Angels,4,7,1
mlb,2001,ws,Arizona Diamondbacks,4,7,1
mlb,2000,ws,New York Yankees,4,5,1
mlb,1999,ws,New York Yankees,4,4,1
mlb,1998,ws,New York Yankees,4,4,1
mlb,1997,ws,Florida Marlins,4,7,1
mlb,1996,ws,New York Yankees,4,6,1
mlb,1995,ws,Atlanta Braves,4,6,1
mlb,1993,ws,Toronto Blue Jays,4,6,1
mlb,1992,ws,Toronto Blue Jays,4,6,1
mlb,1991,ws,Minnesota Twins,4,7,1
mlb,1990,ws,Cincinnati Reds,4,4,1
mlb,1989,ws,Oakland Athletics,4,4,1
mlb,1988,ws,Los Angeles Dodgers,4,5,1
mlb,1987,ws,Minnesota Twins,4,7,1
mlb,1986,ws,New York Mets,4,7,1
mlb,1985,ws,Kansas City Royals,4,7,1
mlb,1984,ws,Detroit Tigers,4,5,1
mlb,1983,ws,Baltimore Orioles,4,5,1
mlb,1982,ws,St. Louis Cardinals,4,7,1
mlb,1981,ws,Los Angeles Dodgers,4,6,1
mlb,1980,ws,Philadelphia Phillies,4,6,1
mlb,1979,ws,Pittsburgh Pirates,4,7,1
mlb,1978,ws,New York Yankees,4,6,1
mlb,1977,ws,New York Yankees,4,6,1
mlb,1976,ws,Cincinnati Reds,4,4,1
mlb,1975,ws,Cincinnati Reds,4,7,1
mlb,1974,ws,Oakland Athletics,4,5,1
mlb,1973,ws,Oakland Athletics,4,7,1
mlb,1972,ws,Oakland Athletics,4,7,1
mlb,1971,ws,Pittsburgh Pirates,4,7,1
mlb,1970,ws,Baltimore Orioles,4,5,1
mlb,1969,ws,New York Mets,4,5,1
mlb,1968,ws,Detroit Tigers,4,7,1
mlb,1967,ws,St. Louis Cardinals,4,7,1
mlb,1966,ws,Baltimore Orioles,4,4,1
mlb,1965,ws,Los Angeles Dodgers,4,7,1
mlb,1964,ws,St. Louis Cardinals,4,7,1
mlb,1963,ws,Los Angeles Dodgers,4,4,1
mlb,1962,ws,New York Yankees,4,7,1
mlb,1961,ws,New York Yankees,4,5,1
mlb,1960,ws,Pittsburgh Pirates,4,7,1
mlb,1959,ws,Los Angeles Dodgers,4,6,1
mlb,1958,ws,New York Yankees,4,7,1
mlb,1957,ws,Milwaukee Braves,4,7,1
mlb,1956,ws,New York Yankees,4,7,1
mlb,1955,ws,Brooklyn Dodgers,4,7,1
mlb,1954,ws,New York Giants,4,4,1
mlb,1953,ws,New York Yankees,4,6,1
mlb,1952,ws,New York Yankees,4,7,1
mlb,1951,ws,New York Yankees,4,6,1
mlb,1950,ws,New York Yankees,4,4,1
mlb,1949,ws,New York Yankees,4,5,1
mlb,1948,ws,Cleveland Indians,4,6,1
mlb,1947,ws,New York Yankees,4,7,1
mlb,1946,ws,St. Louis Cardinals,4,7,1
mlb,1945,ws,Detroit Tigers,4,7,1
mlb,1944,ws,St. Louis Cardinals,4,6,1
mlb,1943,ws,New York Yankees,4,5,1
mlb,1942,ws,St. Louis Cardinals,4,5,1
mlb,1941,ws,New York Yankees,4,5,1
mlb,1940,ws,Cincinnati Reds,4,7,1
mlb,1939,ws,New York Yankees,4,4,1
mlb,1938,ws,New York Yankees,4,4,1
mlb,1937,ws,New York Yankees,4,5,1
mlb,1936,ws,New York Yankees,4,6,1
mlb,1935,ws,Detroit Tigers,4,6,1
mlb,1934,ws,St. Louis Cardinals,4,7,1
mlb,1933,ws,New York Giants,4,5,1
mlb,1932,ws,New York Yankees,4,4,1
mlb,1931,ws,St. Louis Cardinals,4,7,1
mlb,1930,ws,Philadelphia Athletics,4,6,1
mlb,1929,ws,Philadelphia Athletics,4,5,1
mlb,1928,ws,New York Yankees,4,4,1
mlb,1927,ws,New York Yankees,4,4,1
mlb,1926,ws,St. Louis Cardinals,4,7,1
mlb,1925,ws,Pittsburgh Pirates,4,7,1
mlb,1924,ws,Washington Senators,4,7,1
mlb,1923,ws,New York Yankees,4,6,1
mlb,1922,ws,New York Giants,4,4,1
mlb,1921,ws,New York Giants,5,8,1
mlb,1920,ws,Cleveland Indians,5,7,1
mlb,1919,ws,Cincinnati Reds,5,8,1
mlb,1918,ws,Boston Red Sox,4,6,1
mlb,1917,ws,Chicago White Sox,4,6,1
mlb,1916,ws,Boston Red Sox,4,5,1
mlb,1915,ws,Boston Red Sox,4,5,1
mlb,1914,ws,Boston Braves,4,4,1
mlb,1913,ws,Philadelphia Athletics,4,5,1
mlb,1912,ws,Boston Red Sox,4,7,1
mlb,1911,ws,Philadelphia Athletics,4,6,1
mlb,1910,ws,Philadelphia Athletics,4,5,1
mlb,1909,ws,Pittsburgh Pirates,4,7,1
mlb,1908,ws,Chicago Cubs,4,5,1
mlb,1907,ws,Chicago Cubs,4,4,1
mlb,1906,ws,Chicago White Sox,4,6,1
mlb,1905,ws,New York Giants,4,5,1
mlb,1903,ws,Boston Americans,5,8,1
mlb,2012,alwc,Baltimore Orioles,1,1,1
mlb,2012,nlwc,St. Louis Cardinals,1,1,1
mlb,2013,nlwc,Pittsburgh Pirates,1,1,1
mlb,2013,alwc,Tampa Bay Rays,1,1,1
mlb,2013,nlds,Los Angeles Dodgers,3,4,1
mlb,2013,nlds,St. Louis Cardinals,3,5,1
mlb,2013,ncls,St. Louis Cardinals,4,6,1
mlb,2013,alds,Boston Red Sox,3,4,1
mlb,2013,alds,Detroit Tigers,3,5,1
mlb,2013,alcs,Boston Red Sox,4,6,1
mlb,2012,nlds,Cincinnati Reds,2,5,0
mlb,2012,nlds,Washington Nationals,2,5,0
mlb,2011,nlds,Arizona Diamondbacks,2,5,0
mlb,2011,nlds,Philadelphia Phillies,2,5,0
mlb,2010,nlds,Atlanta Braves,1,4,0
mlb,2010,nlds,Cincinnati Reds,0,3,0
mlb,2009,nlds,Colorado Rockies,1,4,0
mlb,2009,nlds,St. Louis Cardinals,0,3,0
mlb,2008,nlds,Chicago Cubs,0,3,0
mlb,2008,nlds,Milwaukee Brewers,1,4,0
mlb,2007,nlds,Philadelphia Phillies,0,3,0
mlb,2007,nlds,Chicago Cubs,0,3,0
mlb,2006,nlds,San Diego Padres,1,4,0
mlb,2006,nlds,Los Angeles Dodgers,0,3,0
mlb,2005,nlds,Atlanta Braves,1,4,0
mlb,2005,nlds,San Diego Padres,0,3,0
mlb,2004,nlds,Atlanta Braves,2,5,0
mlb,2004,nlds,Los Angeles Dodgers,1,4,0
mlb,2003,nlds,Atlanta Braves,2,5,0
mlb,2003,nlds,San Francisco Giants,1,4,0
mlb,2002,nlds,Arizona Diamondbacks,0,3,0
mlb,2002,nlds,Atlanta Braves,2,5,0
mlb,2001,nlds,St. Louis Cardinals,2,5,0
mlb,2001,nlds,Houston Astros,0,3,0
mlb,2000,nlds,San Francisco Giants,1,4,0
mlb,2000,nlds,Atlanta Braves,0,3,0
mlb,1999,nlds,Houston Astros,1,4,0
mlb,1999,nlds,Arizona Diamondbacks,1,4,0
mlb,1998,nlds,Houston Astros,1,4,0
mlb,1998,nlds,Chicago Cubs,0,3,0
mlb,1997,nlds,Houston Astros,0,3,0
mlb,1997,nlds,San Francisco Giants,0,3,0
mlb,1996,nlds,San Diego Padres,0,3,0
mlb,1996,nlds,Los Angeles Dodgers,0,3,0
mlb,1995,nlds,Los Angeles Dodgers,0,3,0
mlb,1995,nlds,Colorado Rockies,1,4,0
mlb,2012,alds,Oakland Athletics,2,5,0
mlb,2012,alds,Baltimore Orioles,2,5,0
mlb,2011,alds,Tampa Bay Rays,1,4,0
mlb,2011,alds,New York Yankees,2,5,0
mlb,2010,alds,Minnesota Twins,0,3,0
mlb,2010,alds,Tampa Bay Rays,2,5,0
mlb,2009,alds,Boston Red Sox,0,3,0
mlb,2009,alds,Minnesota Twins,0,3,0
mlb,2008,alds,Los Angeles Angels of Anaheim,1,4,0
mlb,2008,alds,Chicago White Sox,1,4,0
mlb,2007,alds,New York Yankees,1,4,0
mlb,2007,alds,Los Angeles Angels of Anaheim,0,3,0
mlb,2006,alds,Minnesota Twins,0,3,0
mlb,2006,alds,New York Yankees,1,4,0
mlb,2005,alds,New York Yankees,2,5,0
mlb,2005,alds,Boston Red Sox,0,3,0
mlb,2004,alds,Minnesota Twins,1,4,0
mlb,2004,alds,Anaheim Angels,0,3,0
mlb,2003,alds,Oakland Athletics,2,5,0
mlb,2003,alds,Minnesota Twins,1,4,0
mlb,2002,alds,Oakland Athletics,2,5,0
mlb,2002,alds,New York Yankees,1,4,0
mlb,2001,alds,Oakland Athletics,2,5,0
mlb,2001,alds,Cleveland Indians,2,5,0
mlb,2000,alds,Chicago White Sox,0,3,0
mlb,2000,alds,Oakland Athletics,2,5,0
mlb,1999,alds,Cleveland Indians,2,5,0
mlb,1999,alds,Texas Rangers,0,3,0
mlb,1998,alds,Texas Rangers,0,3,0
mlb,1998,alds,Boston Red Sox,1,4,0
mlb,1997,alds,Seattle Mariners,1,4,0
mlb,1997,alds,New York Yankees,2,5,0
mlb,1996,alds,Texas Rangers,1,4,0
mlb,1996,alds,Cleveland Indians,1,4,0
mlb,1995,alds,New York Yankees,2,5,0
mlb,1995,alds,Boston Red Sox,0,3,0
mlb,2012,alcs,New York Yankees,0,4,0
mlb,2011,alcs,Detroit Tigers,2,6,0
mlb,2010,alcs,New York Yankees,2,6,0
mlb,2009,alcs,Los Angeles Angels of Anaheim,2,6,0
mlb,2008,alcs,Boston Red Sox,3,7,0
mlb,2007,alcs,Cleveland Indians,3,7,0
mlb,2006,alcs,Oakland Athletics,0,4,0
mlb,2005,alcs,Los Angeles Angels of Anaheim,1,5,0
mlb,2004,alcs,New York Yankees,3,7,0
mlb,2003,alcs,Boston Red Sox,3,7,0
mlb,2002,alcs,Minnesota Twins,1,5,0
mlb,2001,alcs,Seattle Mariners,1,5,0
mlb,2000,alcs,Seattle Mariners,2,6,0
mlb,1999,alcs,Boston Red Sox,1,5,0
mlb,1998,alcs,Cleveland Indians,2,6,0
mlb,1997,alcs,Baltimore Orioles,2,6,0
mlb,1996,alcs,Baltimore Orioles,1,5,0
mlb,1995,alcs,Seattle Mariners,2,6,0
mlb,1993,alcs,Chicago White Sox,2,6,0
mlb,1992,alcs,Oakland Athletics,2,6,0
mlb,1991,alcs,Toronto Blue Jays,1,5,0
mlb,1990,alcs,Boston Red Sox,0,4,0
mlb,1989,alcs,Toronto Blue Jays,1,5,0
mlb,1988,alcs,Boston Red Sox,0,4,0
mlb,1987,alcs,Detroit Tigers,1,5,0
mlb,1986,alcs,California Angels,3,7,0
mlb,1985,alcs,Toronto Blue Jays,3,7,0
mlb,1984,alcs,Kansas City Royals,0,3,0
mlb,1983,alcs,Chicago White Sox,1,4,0
mlb,1982,alcs,California Angels,2,5,0
mlb,1981,alcs,Oakland Athletics,0,3,0
mlb,1980,alcs,New York Yankees,0,3,0
mlb,1979,alcs,California Angels,1,4,0
mlb,1978,alcs,Kansas City Royals,1,4,0
mlb,1977,alcs,Kansas City Royals,2,5,0
mlb,1976,alcs,Kansas City Royals,2,5,0
mlb,1975,alcs,Oakland Athletics,0,3,0
mlb,1974,alcs,Baltimore Orioles,1,4,0
mlb,1973,alcs,Baltimore Orioles,2,5,0
mlb,1972,alcs,Detroit Tigers,2,5,0
mlb,1971,alcs,Oakland Athletics,0,3,0
mlb,1970,alcs,Minnesota Twins,0,3,0
mlb,1969,alcs,Minnesota Twins,0,3,0
mlb,2012,nlcs,St. Louis Cardinals,3,7,0
mlb,2011,nlcs,Milwaukee Brewers,2,6,0
mlb,2010,nlcs,Philadelphia Phillies,2,6,0
mlb,2009,nlcs,Los Angeles Dodgers,1,5,0
mlb,2008,nlcs,Los Angeles Dodgers,1,5,0
mlb,2007,nlcs,Arizona Diamondbacks,0,4,0
mlb,2006,nlcs,New York Mets,3,7,0
mlb,2005,nlcs,St. Louis Cardinals,2,6,0
mlb,2004,nlcs,Houston Astros,3,7,0
mlb,2003,nlcs,Chicago Cubs,3,7,0
mlb,2002,nlcs,St. Louis Cardinals,1,5,0
mlb,2001,nlcs,Atlanta Braves,1,5,0
mlb,2000,nlcs,St. Louis Cardinals,1,5,0
mlb,1999,nlcs,New York Mets,2,6,0
mlb,1998,nlcs,Atlanta Braves,2,6,0
mlb,1997,nlcs,Atlanta Braves,2,6,0
mlb,1996,nlcs,St. Louis Cardinals,3,7,0
mlb,1995,nlcs,Cincinnati Reds,0,4,0
mlb,1993,nlcs,Atlanta Braves,2,6,0
mlb,1992,nlcs,Pittsburgh Pirates,3,7,0
mlb,1991,nlcs,Pittsburgh Pirates,3,7,0
mlb,1990,nlcs,Pittsburgh Pirates,2,6,0
mlb,1989,nlcs,Chicago Cubs,1,5,0
mlb,1988,nlcs,New York Mets,3,7,0
mlb,1987,nlcs,San Francisco Giants,3,7,0
mlb,1986,nlcs,Houston Astros,2,6,0
mlb,1985,nlcs,Los Angeles Dodgers,2,6,0
mlb,1984,nlcs,Chicago Cubs,2,5,0
mlb,1983,nlcs,Los Angeles Dodgers,1,4,0
mlb,1982,nlcs,Atlanta Braves,0,3,0
mlb,1981,nlcs,Montreal Expos,2,5,0
mlb,1980,nlcs,Houston Astros,2,5,0
mlb,1979,nlcs,Cincinnati Reds,0,3,0
mlb,1978,nlcs,Philadelphia Phillies,1,4,0
mlb,1977,nlcs,Philadelphia Phillies,1,4,0
mlb,1976,nlcs,Philadelphia Phillies,0,3,0
mlb,1975,nlcs,Pittsburgh Pirates,0,3,0
mlb,1974,nlcs,Pittsburgh Pirates,1,4,0
mlb,1973,nlcs,Cincinnati Reds,2,5,0
mlb,1972,nlcs,Pittsburgh Pirates,2,5,0
mlb,1971,nlcs,San Francisco Giants,1,4,0
mlb,1970,nlcs,Pittsburgh Pirates,0,3,0
mlb,1969,nlcs,Atlanta Braves,0,3,0
mlb,2012,ws,Detroit Tigers,0,4,0
mlb,2011,ws,Texas Rangers,3,7,0
mlb,2010,ws,Texas Rangers,1,5,0
mlb,2009,ws,Philadelphia Phillies,2,6,0
mlb,2008,ws,Tampa Bay Rays,1,5,0
mlb,2007,ws,Colorado Rockies,0,4,0
mlb,2006,ws,Detroit Tigers,1,5,0
mlb,2005,ws,Houston Astros,0,4,0
mlb,2004,ws,St. Louis Cardinals,0,4,0
mlb,2003,ws,New York Yankees,2,6,0
mlb,2002,ws,San Francisco Giants,3,7,0
mlb,2001,ws,New York Yankees,3,7,0
mlb,2000,ws,New York Mets,1,5,0
mlb,1999,ws,Atlanta Braves,0,4,0
mlb,1998,ws,San Diego Padres,0,4,0
mlb,1997,ws,Cleveland Indians,3,7,0
mlb,1996,ws,Atlanta Braves,2,6,0
mlb,1995,ws,Cleveland Indians,2,6,0
mlb,1993,ws,Philadelphia Phillies,2,6,0
mlb,1992,ws,Atlanta Braves,2,6,0
mlb,1991,ws,Atlanta Braves,3,7,0
mlb,1990,ws,Oakland Athletics,0,4,0
mlb,1989,ws,San Francisco Giants,0,4,0
mlb,1988,ws,Oakland Athletics,1,5,0
mlb,1987,ws,St. Louis Cardinals,3,7,0
mlb,1986,ws,Boston Red Sox,3,7,0
mlb,1985,ws,St. Louis Cardinals,3,7,0
mlb,1984,ws,San Diego Padres,1,5,0
mlb,1983,ws,Philadelphia Phillies,1,5,0
mlb,1982,ws,Milwaukee Brewers,3,7,0
mlb,1981,ws,New York Yankees,2,6,0
mlb,1980,ws,Kansas City Royals,2,6,0
mlb,1979,ws,Baltimore Orioles,3,7,0
mlb,1978,ws,Los Angeles Dodgers,2,6,0
mlb,1977,ws,Los Angeles Dodgers,2,6,0
mlb,1976,ws,New York Yankees,0,4,0
mlb,1975,ws,Boston Red Sox,3,7,0
mlb,1974,ws,Los Angeles Dodgers,1,5,0
mlb,1973,ws,New York Mets,3,7,0
mlb,1972,ws,Cincinnati Reds,3,7,0
mlb,1971,ws,Baltimore Orioles,3,7,0
mlb,1970,ws,Cincinnati Reds,1,5,0
mlb,1969,ws,Baltimore Orioles,1,5,0
mlb,1968,ws,St. Louis Cardinals,3,7,0
mlb,1967,ws,Boston Red Sox,3,7,0
mlb,1966,ws,Los Angeles Dodgers,0,4,0
mlb,1965,ws,Minnesota Twins,3,7,0
mlb,1964,ws,New York Yankees,3,7,0
mlb,1963,ws,New York Yankees,0,4,0
mlb,1962,ws,San Francisco Giants,3,7,0
mlb,1961,ws,Cincinnati Reds,1,5,0
mlb,1960,ws,New York Yankees,3,7,0
mlb,1959,ws,Chicago White Sox,2,6,0
mlb,1958,ws,Milwaukee Braves,3,7,0
mlb,1957,ws,New York Yankees,3,7,0
mlb,1956,ws,Brooklyn Dodgers,3,7,0
mlb,1955,ws,New York Yankees,3,7,0
mlb,1954,ws,Cleveland Indians,0,4,0
mlb,1953,ws,Brooklyn Dodgers,2,6,0
mlb,1952,ws,Brooklyn Dodgers,3,7,0
mlb,1951,ws,New York Giants,2,6,0
mlb,1950,ws,Philadelphia Phillies,0,4,0
mlb,1949,ws,Brooklyn Dodgers,1,5,0
mlb,1948,ws,Boston Braves,2,6,0
mlb,1947,ws,Brooklyn Dodgers,3,7,0
mlb,1946,ws,Boston Red Sox,3,7,0
mlb,1945,ws,Chicago Cubs,3,7,0
mlb,1944,ws,St. Louis Browns,2,6,0
mlb,1943,ws,St. Louis Cardinals,1,5,0
mlb,1942,ws,New York Yankees,1,5,0
mlb,1941,ws,Brooklyn Dodgers,1,5,0
mlb,1940,ws,Detroit Tigers,3,7,0
mlb,1939,ws,Cincinnati Reds,0,4,0
mlb,1938,ws,Chicago Cubs,0,4,0
mlb,1937,ws,New York Giants,1,5,0
mlb,1936,ws,New York Giants,2,6,0
mlb,1935,ws,Chicago Cubs,2,6,0
mlb,1934,ws,Detroit Tigers,3,7,0
mlb,1933,ws,Washington Senators,1,5,0
mlb,1932,ws,Chicago Cubs,0,4,0
mlb,1931,ws,Philadelphia Athletics,3,7,0
mlb,1930,ws,St. Louis Cardinals,2,6,0
mlb,1929,ws,Chicago Cubs,1,5,0
mlb,1928,ws,St. Louis Cardinals,0,4,0
mlb,1927,ws,Pittsburgh Pirates,0,4,0
mlb,1926,ws,New York Yankees,3,7,0
mlb,1925,ws,Washington Senators,3,7,0
mlb,1924,ws,New York Giants,3,7,0
mlb,1923,ws,New York Giants,2,6,0
mlb,1922,ws,New York Yankees,0,4,0
mlb,1921,ws,New York Yankees,3,8,0
mlb,1920,ws,Brooklyn Robins,2,7,0
mlb,1919,ws,Chicago White Sox,3,8,0
mlb,1918,ws,Chicago Cubs,2,6,0
mlb,1917,ws,New York Giants,2,6,0
mlb,1916,ws,Brooklyn Robins,1,5,0
mlb,1915,ws,Philadelphia Phillies,1,5,0
mlb,1914,ws,Philadelphia Athletics,0,4,0
mlb,1913,ws,New York Giants,1,5,0
mlb,1912,ws,New York Giants,3,7,0
mlb,1911,ws,New York Giants,2,6,0
mlb,1910,ws,Chicago Cubs,1,5,0
mlb,1909,ws,Detroit Tigers,3,7,0
mlb,1908,ws,Detroit Tigers,1,5,0
mlb,1907,ws,Detroit Tigers,0,4,0
mlb,1906,ws,Chicago Cubs,2,6,0
mlb,1905,ws,Philadelphia Athletics,1,5,0
mlb,1903,ws,Pittsburgh Pirates,3,8,0
mlb,2012,alwc,Texas Rangers,0,1,0
mlb,2012,nlwc,Atlanta Braves,0,1,0
