Aberdeen JC,"Rozier, Bob",1979,1979,DE,6' 3'',240,Anchorage,AK,USA,"Cordova (Sacramento, CA)"
Alcorn State University,"Mix, Bryant",1996,1997,DE/DT,6' 3'',301,Water Valley,MS,USA,Water Valley (MS)
Alcorn State University,"Owens, Joe",1970,1976,DE/LB,6' 2'',244,Columbia,MS,USA,"Jefferson (Columbia, MS)"
Alcorn State University,"Penchion, Bob",1972,1976,G/OG/T,6' 5'',256,Town Creek,AL,USA,Courtland (AL)
Alcorn State University,"Pillers, Lawrence",1976,1985,DE/DT,6' 3'',257,Hazelhurst,MS,USA,Hazelhurst (MS)
Alcorn State University,"Price, Elex",1973,1980,DT,6' 3'',262,Yazoo City,MS,USA,"N.D. Taylor (Yazoo City, MS)"
Alcorn State University,"Purnell, Frank",1957,1957,FB,5' 11'',230,Sweatman,MS,USA,"Spring Hills (Sweatman, MS)"
Alcorn State University,"Reed, Smith",1965,1966,HB/OHB,5' 11'',215,Vicksburg,MS,USA,"Temple (Vicksburg, MS)"
Alcorn State University,"Rice, Floyd",1971,1978,LB/TE,6' 3'',224,Natchez,MS,USA,"Sadie V. Thompson (Natchez, MS)"
Alcorn State University,"Slaughter, Chad",2003,2008,OT,6' 8'',340,Dallas,TX,USA,"Kimball (Dallas, TX)"
Alcorn State University,"Small, Torrance",1992,2001,WR,6' 3'',213,Tampa,FL,USA,"Thomas Jefferson (Tampa, FL)"
Alcorn State University,"Smith, Elliot",1989,1990,CB/S,6' 2'',192,Jackson,MS,USA,"Callaway (Jackson, MS)"
Alcorn State University,"Sowells, Rich",1971,1977,CB/DB,6' 0'',179,Prairie View,TX,USA,"Sam Houston (Huntsville, TX)"
Alcorn State University,"Spinks, Jack",1952,1957,FB/G/OG,6' 0'',236,Birmingham,AL,USA,"Stevenson (Toomsuba, MS)*"
Alcorn State University,"Thierry, John",1994,2002,DE/LB,6' 4'',263,Houston,TX,USA,"Plaisance (Opelousas, LA)"
Alcorn State University,"Tillman, Cedric",1992,1995,WR,6' 2'',204,Natchez,MS,USA,Gulfport (MS)
Alcorn State University,"Washington, Dave",1970,1980,LB,6' 5'',224,Tuscaloosa,AL,USA,"Druid (Tuscaloosa, AL)"
Alcorn State University,"Watkins, Larry",1969,1977,FB/RB,6' 2'',226,Bessemer,AL,USA,"J.S. Abrams (Bessemer, AL)"
Alcorn State University,"White, Dwayne",1990,1996,G/OG,6' 2'',311,Philadelphia,PA,USA,"South (Philadelphia, PA)"
Alcorn State University,"Williams, Jim",1969,1969,CB/WR,6' 1'',190,Gloster,MS,USA,Gloster (MS)
Alcorn State University,"Wonsley, Otis",1981,1985,RB,5' 10'',205,Pascagoula,MS,USA,Moss Point (MS)
Alcorn State University,"Young, Roynell",1980,1988,CB,6' 1'',184,New Orleans,LA,USA,"Cohen (New Orleans, LA)"
Alcorn State University,"Young, Willie",1971,1973,G/T,6' 4'',270,Jefferson,MS,USA,"Brinkley (Jackson, MS)"
Alfred University,"Goble, Les",1954,1955,DHB/HB,5' 11'',157,Waverly,NY,USA,Waverly (NY)
Alfred University,"Witter, Ray",1921,1923,C/E/FB/G,5' 10'',183,Perry,NY,USA,Warsaw (NY)
Allegheny College,"Anderson, Ronnie",1998,1998,WR,6' 1'',190,Cleveland,OH,USA,"University (Hunting Valley, OH)"
Allegheny College,"Parnell, Babe",1925,1927,G/T,6' 3'',205,Ashtabula,OH,USA,Ashatbula (OH)
Allegheny College,"Small, George",1980,1980,NT,6' 2'',260,Shreveport,LA,USA,"Hoke County (Raeford, NC)"
Allen Hancock College,"Allred, Brian",1993,1993,CB,5' 10'',175,Washington,DC,USA,"Hammond (Columbia, MD)"
Allen Hancock College,"Byrd, Israel",1994,1997,CB,5' 11'',184,St. Louis,MO,USA,"Parkway Central (St. Louis, MO)"
Allen Hancock College,"Canley, Sheldon",1992,1992,RB,5' 9'',195,Santa Barbara,CA,USA,Lompoc (CA)
Allen Hancock College,"Gray, Johnnie",1975,1983,S,5' 11'',185,Lake Charles,LA,USA,Lompoc (CA)
Allen Hancock College,"Henderson, Wymon",1987,1994,CB/S,5' 10'',186,North Miami Beach,FL,USA,"North (Miami Beach, FL)"
Allen Hancock College,"Vanderjagt, Mike",1998,2006,K,6' 5'',210,Oakville,,Ont.,White Oaks (Ont.)
Allen Hancock College,"Whitmyer, Nat",1963,1966,CB/S,6' 0'',182,Washington,DC,USA,"Dunbar (Washington, DC)"
Allen University,"Bryant, Charlie",1966,1969,HB/RB,6' 1'',207,Wampe,SC,USA,"Columbus (Lakeview, SC)"
Allen University,"Cash, John",1961,1962,DE,6' 2'',235,Brunswick,GA,USA,Risley (GA)
Allen University,"Davis, Sam",1967,1979,OG,6' 1'',251,Ocilla,GA,USA,Jacksonville (FL)
Allen University,"Harold, George",1966,1968,DB,6' 3'',198,Augusta,GA,USA,"Lucy Craft Laney (Augusta, GA)"
Alma College,"Konecny, Mark",1987,1988,RB,5' 11'',197,Chicago,IL,USA,"Mona Shores (Muskegon, MI)"
Amarillo JC,"Brown, Kevin",1987,1987,P,6' 2'',178,Panhandle,TX,USA,Panhandle (TX)
Amarillo JC,"Cherry, Ed",1938,1939,B/E/FB/HB,6' 0'',208,Wellington,TX,USA,Shamrock (TX)
American International College,"Carey, Brian",1987,1987,WR,6' 0'',200,Woburn,MA,USA,Gloucester (MA)
American International College,"Laird, Bruce",1972,1983,CB/S,6' 0'',193,Lowell,MA,USA,Scituate (MA)
American International College,"Norris, Jon",1987,1987,DE,6' 3'',260,ales,,,Stratford (CT)
American International College,"Randolph, Terry",1977,1977,DB,6' 0'',184,Brooklyn,NY,USA,"Tilden (Brooklyn, NY)"
American International College,"Rychlec, Tom",1958,1963,E/OE,6' 2'',220,Meriden,CT,USA,Meriden (CT)/Monson Academy
American International College,"Scibelli, Joe",1961,1975,OG/OT,6' 1'',256,Springfield,MA,USA,"Cathedral (Springfield, MA)"
American International College,"Sergienko, George",1943,1946,G/T,6' 2'',248,Chicopee,MA,USA,Chicopee Falls (MA)
American International College,"Williams, Chris",1991,1991,NT,6' 3'',304,Chelsea,MA,USA,"Southeastern (South Easton, MA)"
American River JC,"Brown, Fred",1965,1969,LB/TE,6' 5'',231,Honolulu,HI,USA,"La Sierra (Carmichael, CA)"
American River JC,"Di giacomo, Curt",1986,1988,G/OL,6' 4'',275,San Diego,CA,USA,"Foothill (Sacramento, CA)"
American River JC,"Eason, Tony",1983,1990,QB,6' 4'',212,Blythe,CA,USA,"Delta (Clarksburg, CA)"
American River JC,"Saxon, James",1988,1995,FB/HB/RB,5' 11'',215,Beaufort,SC,USA,"Battery Creek (Burton, SC)"
American River JC,"Willhite, Gerald",1982,1988,FB/HB/RB,5' 10'',200,Sacramento,CA,USA,"Cordova (Ranchon Cordova, CA)"
Amherst College,"Clancy, Sean",1978,1979,LB,6' 4'',218,Manhasset,NY,USA,"Chaminade (Mineola, NY)"
Amherst College,"Fugett, Jean",1972,1979,TE,6' 3'',225,Baltimore,MD,USA,"Cardinal Gibbons (Baltimore, MD)"
Amherst College,"Hill, Kid",1926,1926,HB,5' 11'',185,Washington,DC,USA,"Brighton (MA)/Portland Prep (Portland, ME)"
Amherst College,"Scott, Freddie",1974,1983,WR,6' 2'',175,Grady,AR,USA,"Southeast (Pine Bluff, AR)"
Amherst College,"Swift, Doug",1970,1975,LB,6' 3'',228,Syracuse,NY,USA,"Nottingham (Syracuse, NY)"
Anderson University,"Lamb, Brad",1992,1993,WR,5' 10'',171,Springboro,OH,USA,Springboro (OH)
Anderson University,"Mooney, Tim",1987,1987,DE,6' 2'',265,Evansville,IN,USA,"Central (Evansville, IN)"
Angelina JC,"Jones, Tony",1990,1995,RB/WR,5' 7'',139,Grapeland,TX,USA,Grapeland (TX)
Angelo State University,"Aldridge, Jerry",1980,1980,RB,6' 2'',215,Jacksonville,TX,USA,Jacksonville (TX)
Angelo State University,"Brazzell, Chris",1999,2000,WR,6' 2'',193,Fort Worth,TX,USA,Alice (TX)
Angelo State University,"Clatterbuck, Bobby",1954,1960,QB,6' 3'',195,Columbia,MO,USA,San Angelo (TX)
Angelo State University,"Davis, Shockmain",2000,2000,WR,6' 0'',205,Port Arthur,TX,USA,Port Arthur (TX)
Angelo State University,"Garrett, Alvin",1980,1984,WR,5' 7'',178,Mineral Wells,TX,USA,Mineral Wells (TX)
Angelo State University,"Hollingsworth, Shawn",1983,1983,T,6' 2'',260,Brownwood,TX,USA,Brownwood (TX)
Angelo State University,"Holt, Pierce",1988,1995,DE/DT/NT,6' 4'',280,Marlin,TX,USA,"Lamar (Rosenberg, TX)"
Angelo State University,"Kennard, Ken",1977,1982,DE/DT/MG/NT,6' 2'',252,Fort Worth,TX,USA,Fort Worth (TX)
Angelo State University,"President, Andre",1995,1995,TE,6' 3'',255,Fort Worth,TX,USA,Everman (TX)
Angelo State University,"Turner, Wylie",1979,1980,CB/DB/S,5' 10'',182,Dallas,TX,USA,W.T. White
Angelo State University,"Weishuhn, Clayton",1982,1987,LB,6' 2'',220,San Angelo,TX,USA,Wall (TX)
Angelo State University,"West, Charlie",1968,1979,CB/S,6' 1'',194,Big Spring,TX,USA,Big Spring (TX)
Antelope Valley JC,"Janata, John",1983,1983,T,6' 7'',255,Chicago,IL,USA,"Bonanza (Las Vegas, NV)"
Antelope Valley JC,"Reed, Tony",1977,1981,HB/RB,5' 11'',197,San Francisco,CA,USA,"Chofu (Tokyo, Japan)"
Antelope Valley JC,"Weaver, Larrye",1955,1955,HB,5' 11'',190,Monte Vista,CO,USA,Anaheim (CA)
Antelope Valley JC,"White, Jamel",2000,2005,RB,5' 9'',213,Los Angeles,CA,USA,Palmdale (CA)
Appalachian State University,"Alexander, Harold",1993,1994,P,6' 2'',224,Pickens,SC,USA,"Pickens (Pickens, SC)"
Appalachian State University,"Coakley, Dexter",1997,2006,LB,5' 10'',229,Charleston,SC,USA,"Wando (Mount Pleasant, SC)/Fork Union (VA) Military Academy"
Appalachian State University,"Dawkins, Tommy",1987,1987,DE,6' 3'',260,Lexington,NC,USA,Lexington (NC)
Appalachian State University,"Demko, George",1961,1961,DE,6' 3'',240,Pittsburgh,PA,USA,"Oliver (Pittsburgh, PA)"
Appalachian State University,"Frier, Mike",1992,1994,DE/DT,6' 5'',299,Jacksonville,NC,USA,Jacksonville (NC)
Appalachian State University,"Graham, Derrick",1990,1998,OG/OT/T,6' 4'',315,Groveland,FL,USA,Groveland (FL)
Appalachian State University,"Hackett, Dino",1986,1993,LB,6' 3'',225,Greensboro,NC,USA,"Southern Guilford (Greensboro, NC)"
Appalachian State University,"Hall, Corey",2001,2001,S,6' 3'',198,Athens,GA,USA,"Clark Central (Athens, GA)"
Appalachian State University,"Hand, Larry",1965,1977,DE/DT,6' 5'',247,Paterson,NJ,USA,Butler (NJ)
Appalachian State University,"Hollar, John",1948,1949,FB,6' 0'',223,Boone,NC,USA,Boone (NC)
Appalachian State University,"Hunter, Jason",2006,2010,DE,6' 4'',250,Charlotte,,,
Appalachian State University,"Jackson, Dexter",2008,2008,WR,5' 9'',182,Decatur,GA,USA,Dunwoody HS (GA)
Appalachian State University,"Lynch, Corey",2008,2010,DB,6' 0'',206,Cape Coral,,,"Evangelical Christian School (Fort Myers, FL)"
Appalachian State University,"Mack, Rico",1993,1993,LB,6' 4'',239,Winder,GA,USA,"Barrow (Winder, GA)"
Appalachian State University,"Murrell, Marques",2007,2010,DE,6' 2'',246,Fayetteville,,,
Appalachian State University,"Nittmo, Bjorn",1989,1989,K,5' 11'',185,Lund,,,Enterprise (AL)
Appalachian State University,"Payne, Russell",1987,1987,TE,6' 2'',235,Virginia Beach,VA,USA,"First Colonial (Virginia Beach, VA)"
Appalachian State University,"Royals, Mark",1987,2003,P,6' 3'',216,Hampton,VA,USA,Mathews (VA)
Appalachian State University,"Russell, Darryl",1987,1987,CB/S,6' 0'',190,Chicago Heights,IL,USA,"Bloom Township (Chicago Heights, IL)"
Appalachian State University,"Settle, John",1987,1990,HB/RB,5' 9'',209,Reidsville,NC,USA,"Rockingham County (Ruffin, NC)"
Appalachian State University,"Stevens, Matt",1996,2003,CB/DB/S,6' 0'',205,Chapel Hill,NC,USA,Chapel Hill (NC)
Appalachian State University,"Watts, George",1942,1942,T,6' 2'',225,McAdenville,NC,USA,
Appalachian State University,"Wilcox, Daniel",2001,2008,TE,6' 1'',229,Atlanta,GA,USA,Decatur (GA)
Apprentice,"Williamson, Ernie",1947,1949,T,6' 4'',245,Crewe,VA,USA,
Arizona State University,"Alexakos, Steve",1970,1971,G/OT,6' 2'',260,Lowell,MA,USA,"Los Lomas (Walnut Creek, CA)"
Arizona State University,"Allen, Eric",1988,2001,CB/DB,5' 10'',183,San Diego,CA,USA,"Point Loma (San Diego, CA)"
Arizona State University,"Amey, Vince",1998,1998,DE/DT,6' 3'',289,Los Angeles,CA,USA,"James Logan (Union City, CA)"
Arizona State University,"Anderson, Kim",1980,1984,CB/S,5' 11'',183,Pasadena,CA,USA,Pasadena (CA)
Arizona State University,"Anderson, Max",1968,1969,HB/RB,5' 8'',180,Stockton,CA,USA,"Mary A. Brown (Smithville, TX)"
Arizona State University,"Apuna, Ben",1980,1980,LB,6' 1'',222,Honolulu,HI,USA,Waipahu (HI)
Arizona State University,"Archuleta, Adam",2001,2007,DB,5' 11'',209,Rock Springs,WY,USA,Chandler (AZ)
Arizona State University,"Armstrong, Trace",1989,2003,DE,6' 4'',272,Bethesda,MD,USA,"John Carroll (Birmingham, AL)"
Arizona State University,"Baker, Jon",1995,1999,K,6' 1'',170,Orange,CA,USA,"Foothill (Bakersfield, CA)"
Arizona State University,"Barrett, Josh",2008,2009,DB,6' 3'',225,Reno,NV,USA,Reno HS (NV)
Arizona State University,"Bates, Mario",1994,2000,HB/RB,6' 2'',237,Victoria,TX,USA,"Amphitheater (Tucson, AZ)"
Arizona State University,"Bates, Solomon",2003,2004,LB,6' 1'',243,Carver City,CA,USA,"Canyon Springs (Moreno Valley, CA)"
Arizona State University,"Bell, Jerry",1982,1986,BK/RB/TE,6' 5'',230,Debry,CT,USA,El Cerrito (CA)
Arizona State University,"Beverly, Ed",1973,1973,WR,5' 11'',168,Harrisburg,PA,USA,"John Harris (Harriburg, PA)"
Arizona State University,"Black, Mike",1983,1987,P,6' 1'',197,Glendale,CA,USA,Glendale (CA)
