espn_position_draft_position,player,position,espn_avg_draft_position,espn_avg_bid_value,espn_bid_rank_by_position
26,"Rian Lindell, TB",k,170,0,26
27,"Graham Gano, Car",k,170,0,27
28,"Josh Scobee, Jac",k,170,0,28
29,"Nick Folk, NYJ",k,170,0,29
30,"Nick Novak, SD",k,170,0,30
31,"Dustin Hopkins*, Buf",k,170,0,31
32,"Dan Carpenter, Buf",k,170,0,32
33,"Jason Hanson, FA",k,170,0,33
34,"John Kasay, FA",k,170,0,34
35,"Lawrence Tynes*, FA",k,170,0,35
36,"Billy Cundiff, Cle",k,170,0,36
37,"Ryan Longwell, FA",k,170,0,37
38,"Shayne Graham, FA",k,170,0,38
39,"Kris Brown, FA",k,170,0,39
40,"Maikon Bonani, FA",k,170,0,40
1,"Aaron Rodgers, GB",qb,9.7,47,1
2,"Drew Brees, NO",qb,12.6,43.4,2
3,"Peyton Manning, Den",qb,15.7,36.7,3
4,"Tom Brady, NE",qb,21.8,32.2,4
5,"Cam Newton, Car",qb,32.4,23.2,5
6,"Matt Ryan, Atl",qb,36.7,18.7,6
7,"Colin Kaepernick, SF",qb,37.2,18.2,7
8,"Robert Griffin III, Wsh",qb,46.1,16.5,8
9,"Matthew Stafford, Det",qb,59.3,11.8,9
10,"Russell Wilson, Sea",qb,59.5,11.1,10
11,"Andrew Luck, Ind",qb,68.2,9.9,11
12,"Tony Romo, Dal",qb,78.6,8.4,12
13,"Eli Manning, NYG",qb,91.8,4.9,13
14,"Michael Vick, Phi",qb,102.7,4.6,14
15,"Ben Roethlisberger, Pit",qb,106.7,3.1,15
23,"Philip Rivers, SD",qb,132.8,2.9,16
20,"Alex Smith, KC",qb,127.6,2.5,17
17,"Matt Schaub, Hou",qb,118.9,2.3,18
18,"Andy Dalton, Cin",qb,122.8,2.3,19
22,"Carson Palmer, Ari",qb,129.3,2.3,20
25,"EJ Manuel, Buf",qb,135.1,2.3,21
16,"Joe Flacco, Bal",qb,118.5,2.2,22
26,"Ryan Tannehill, Mia",qb,138.8,2.2,23
24,"Josh Freeman, TB",qb,133.2,2,24
21,"Jay Cutler, Chi",qb,129,1.9,25
19,"Sam Bradford, StL",qb,126.4,1.6,26
27,"Terrelle Pryor, Oak",qb,170,0,27
28,"Brandon Weeden, Cle",qb,170,0,28
29,"Christian Ponder, Min",qb,170,0,29
30,"Jake Locker, Ten",qb,170,0,30
31,"Geno Smith, NYJ",qb,170,0,31
32,"Tim Tebow, FA",qb,170,0,32
33,"Blaine Gabbert, Jac",qb,170,0,33
34,"Mark Sanchez, NYJ",qb,170,0,34
35,"Nick Foles, Phi",qb,170,0,35
36,"Kirk Cousins, Wsh",qb,170,0,36
37,"Jeff Tuel, Buf",qb,170,0,37
38,"Matt Cassel, Min",qb,170,0,38
39,"Chad Henne, Jac",qb,170,0,39
40,"Daunte Culpepper, FA",qb,170,0,40
41,"Matt Flynn, Oak",qb,170,0,41
42,"Mark Brunell, FA",qb,170,0,42
43,"Ryan Fitzpatrick, Ten",qb,170,0,43
44,"Donovan McNabb, FA",qb,170,0,44
45,"Colt McCoy, SF",qb,170,0,45
46,"Kyle Orton, Dal",qb,170,0,46
47,"Derek Anderson, Car",qb,170,0,47
48,"Vince Young, FA",qb,170,0,48
49,"Matt Hasselbeck, Ind",qb,170,0,49
50,"Jason Campbell, Cle",qb,170,0,50
51,"Bruce Gradkowski, Pit",qb,170,0,51
52,"Ryan Mallett, NE",qb,170,0,52
53,"T.J. Yates, Hou",qb,170,0,53
54,"Jeff Garcia, FA",qb,170,0,54
55,"Jon Kitna, FA",qb,170,0,55
56,"Josh McCown, Chi",qb,170,0,56
57,"Shaun Hill, Det",qb,170,0,57
58,"Brady Quinn, NYJ",qb,170,0,58
59,"Kevin Kolb*, Buf",qb,170,0,59
60,"Curtis Painter, NYG",qb,170,0,60
61,"Greg McElroy, Cin",qb,170,0,61
62,"McLeod Bethel-Thompson, Min",qb,170,0,62
63,"Brock Osweiler, Den",qb,170,0,63
64,"Tyler Wilson, FA",qb,170,0,64
65,"Matt Barkley, Phi",qb,170,0,65
66,"Tyler Bray, KC",qb,170,0,66
67,"Seneca Wallace, GB",qb,170,0,67
68,"Matt Leinart, FA",qb,170,0,68
69,"Kellen Clemens, StL",qb,170,0,69
70,"Tarvaris Jackson, Sea",qb,170,0,70
71,"Drew Stanton, Ari",qb,170,0,71
72,"Matt Moore, Mia",qb,170,0,72
73,"Brian Hoyer, Cle",qb,170,0,73
74,"Pat White, Wsh",qb,170,0,74
75,"Case Keenum, Hou",qb,170,0,75
76,"Matt Simms, NYJ",qb,170,0,76
77,"Sean Renfree*, Atl",qb,170,0,77
78,"B.J. Daniels, SF",qb,170,0,78
79,"Ryan Griffin, FA",qb,170,0,79
80,"James Vandenberg, FA",qb,170,0,80
1,"Adrian Peterson, Min",rb,1.3,63.1,1
2,"Arian Foster, Hou",rb,3,54.8,2
4,"Ray Rice, Bal",rb,5.2,52.5,3
3,"Marshawn Lynch, Sea",rb,4.1,52.4,4
5,"Doug Martin, TB",rb,6.2,48.7,5
6,"Jamaal Charles, KC",rb,8.2,48.6,6
7,"C.J. Spiller, Buf",rb,9.2,46,7
8,"Trent Richardson, Cle",rb,10.3,45.7,8
10,"LeSean McCoy, Phi",rb,12.6,44.6,9
9,"Alfred Morris, Wsh",rb,11.6,43.1,10
11,"Steven Jackson, Atl",rb,18,37.2,11
12,"Matt Forte, Chi",rb,18.9,36.8,12
13,"Stevan Ridley, NE",rb,22.9,32.2,13
15,"Chris Johnson, Ten",rb,25.1,30.5,14
14,"Frank Gore, SF",rb,23.2,30.4,15
16,"Maurice Jones-Drew, Jac",rb,29.3,27.6,16
17,"David Wilson, NYG",rb,32.2,24.2,17
19,"Eddie Lacy, GB",rb,40.9,19.8,18
18,"Darren McFadden, Oak",rb,40.3,18.9,19
20,"Reggie Bush, Det",rb,42,18.9,20
21,"DeMarco Murray, Dal",rb,43.2,17.2,21
22,"Darren Sproles, NO",rb,48.1,15.3,22
23,"Lamar Miller, Mia",rb,55.7,13.3,23
24,"Montee Ball, Den",rb,61.8,11.2,24
25,"Ryan Mathews, SD",rb,68,10,25
29,"Giovani Bernard, Cin",rb,79.2,9,26
26,"Ahmad Bradshaw, Ind",rb,73,8.6,27
27,"Chris Ivory, NYJ",rb,73.2,8.4,28
28,"DeAngelo Williams, Car",rb,76.2,8.3,29
32,"Daryl Richardson, StL",rb,89.8,6.5,30
30,"BenJarvus Green-Ellis, Cin",rb,85,6,31
31,"Rashard Mendenhall, Ari",rb,88.2,5.9,32
33,"Shane Vereen, NE",rb,94.5,5.3,33
34,"Mark Ingram, NO",rb,100.2,3.9,34
36,"Le'Veon Bell*, Pit",rb,108.8,3.7,35
37,"Ben Tate, Hou",rb,109.5,3.4,36
35,"Vick Ballard, Ind",rb,105.2,3.2,37
39,"Isaiah Pead, StL",rb,116,2.2,38
38,"Isaac Redman, Pit",rb,114.2,2,39
56,"Andre Brown*, NYG",rb,150.6,1.9,40
40,"Bryce Brown, Phi",rb,124.6,1.8,41
41,"Fred Jackson, Buf",rb,128,1.7,42
43,"Knowshon Moreno, Den",rb,130.6,1.6,43
42,"Bernard Pierce, Bal",rb,130.6,1.5,44
45,"Ronnie Hillman, Den",rb,136.2,1.5,45
47,"Michael Bush, Chi",rb,141.4,1.4,46
48,"Christine Michael, Sea",rb,142.6,1.4,47
51,"Danny Woodhead, SD",rb,144,1.4,48
54,"Kendall Hunter, SF",rb,147.2,1.4,49
44,"Jacquizz Rodgers, Atl",rb,135.2,1.3,50
50,"Bilal Powell, NYJ",rb,142.7,1.3,51
52,"Pierre Thomas, NO",rb,144.6,1.3,52
49,"Joique Bell, Det",rb,142.7,1.2,53
53,"Roy Helu, Wsh",rb,145,1.2,54
46,"Shonn Greene, Ten",rb,137,1.1,55
55,"Mikel Leshoure, Det",rb,148,1.1,56
57,"Daniel Thomas, Mia",rb,151.5,1.1,57
58,"Mike Tolbert, Car",rb,151.9,1.1,58
59,"Jonathan Dwyer, FA",rb,170,1.1,59
60,"Marcel Reece, Oak",rb,170,0,60
61,"Knile Davis, KC",rb,170,0,61
62,"Felix Jones, Pit",rb,170,0,62
63,"Johnathan Franklin, GB",rb,170,0,63
64,"Jonathan Stewart*, Car",rb,170,0,64
65,"Mike Goodson, NYJ",rb,170,0,65
66,"LaMichael James, SF",rb,170,0,66
67,"Robert Turbin, Sea",rb,170,0,67
68,"Lance Dunbar, Dal",rb,170,0,68
69,"LaRod Stephens-Howling, Pit",rb,170,0,69
70,"Toby Gerhart, Min",rb,170,0,70
71,"Michael Turner, FA",rb,170,0,71
72,"Joseph Randle, Dal",rb,170,0,72
73,"Denard Robinson, Jac",rb,170,0,73
74,"Ryan Williams, Ari",rb,170,0,74
75,"LeGarrette Blount, NE",rb,170,0,75
76,"Rashad Jennings, Oak",rb,170,0,76
77,"Jordan Todman, Jac",rb,170,0,77
78,"Justin Forsett, Jac",rb,170,0,78
79,"Stepfan Taylor, Ari",rb,170,0,79
80,"Zac Stacy, StL",rb,170,0,80
81,"John Kuhn, GB",rb,170,0,81
82,"Kenjon Barner, Car",rb,170,0,82
83,"Cierre Wood, Hou",rb,170,0,83
84,"Marcus Lattimore*, FA",rb,170,0,84
85,"Mike Gillislee, Mia",rb,170,0,85
86,"Donald Brown, Ind",rb,170,0,86
87,"Willis McGahee, FA",rb,170,0,87
88,"Mike James, TB",rb,170,0,88
89,"James Starks, GB",rb,170,0,89
90,"Joseph Addai, FA",rb,170,0,90
91,"Chris Polk, Phi",rb,170,0,91
92,"Benny Cunningham, StL",rb,170,0,92
93,"Phillip Tanner, Dal",rb,170,0,93
94,"Ronnie Brown, SD",rb,170,0,94
95,"Da'Rel Scott, NYG",rb,170,0,95
96,"Andre Ellington, Ari",rb,170,0,96
97,"Rex Burkhead, Cin",rb,170,0,97
98,"LaDainian Tomlinson, FA",rb,170,0,98
99,"Michael Cox, NYG",rb,170,0,99
100,"Alex Green, NYJ",rb,170,0,100
101,"Michael Ford, Chi",rb,170,0,101
102,"Cedric Benson, FA",rb,170,0,102
103,"Chris Ogbonnaya, Cle",rb,170,0,103
104,"Brian Leonard, TB",rb,170,0,104
105,"Jason Snelling, Atl",rb,170,0,105
106,"Darius Reynaud, Ten",rb,170,0,106
107,"Bobby Rainey, Cle",rb,170,0,107
108,"Brandon Jacobs, FA",rb,170,0,108
109,"Peyton Hillis, TB",rb,170,0,109
110,"Deji Karim, FA",rb,170,0,110
111,"Mike Sellers, FA",rb,170,0,111
112,"Leon Washington, FA",rb,170,0,112
113,"Darrel Young, Wsh",rb,170,0,113
114,"Fozzy Whittaker, SD",rb,170,0,114
115,"Clinton Portis, FA",rb,170,0,115
116,"Joe McKnight, FA",rb,170,0,116
117,"Delone Carter, FA",rb,170,0,117
118,"DuJuan Harris*, GB",rb,170,0,118
119,"Matt Asiata, Min",rb,170,0,119
120,"Cyrus Gray, KC",rb,170,0,120
1,"Jimmy Graham, NO",te,29.4,27.3,1
2,"Rob Gronkowski, NE",te,47.2,15.1,2
3,"Tony Gonzalez, Atl",te,51.5,12,3
4,"Jason Witten, Dal",te,55.2,11.2,4
5,"Vernon Davis, SF",te,56.6,10.1,5
6,"Kyle Rudolph, Min",te,79.1,5.6,6
7,"Owen Daniels, Hou",te,83.2,4.6,7
8,"Greg Olsen, Car",te,84.9,4.3,8
9,"Antonio Gates, SD",te,88.8,3.9,9
10,"Jermichael Finley, GB",te,102.6,3,10
14,"Zach Sudfeld, NE",te,133,2.3,11
11,"Brandon Myers, NYG",te,111,2.1,12
18,"Jordan Cameron, Cle",te,134,2.1,13
12,"Jared Cook, StL",te,118.9,2,14
22,"Tyler Eifert, Cin",te,138,2,15
16,"Julius Thomas, Den",te,133.3,1.6,16
17,"Fred Davis, Wsh",te,133.9,1.6,17
21,"Jermaine Gresham, Cin",te,137.6,1.6,18
13,"Martellus Bennett, Chi",te,130.6,1.5,19
19,"Heath Miller, Pit",te,134.2,1.5,20
15,"Brandon Pettigrew, Det",te,133.1,1.4,21
24,"Dwayne Allen, Ind",te,143.7,1.2,22
20,"Brent Celek, Phi",te,137.2,0,23
23,"Coby Fleener, Ind",te,140.7,0,24
25,"Zach Miller, Sea",te,170,0,25
26,"Dallas Clark, Bal",te,170,0,26
27,"Aaron Hernandez, FA",te,170,0,27
28,"Ed Dickson, Bal",te,170,0,28
29,"Marcedes Lewis, Jac",te,170,0,29
30,"Scott Chandler, Buf",te,170,0,30
31,"Zach Ertz, Phi",te,170,0,31
32,"Kellen Winslow, NYJ",te,170,0,32
33,"Rob Housler, Ari",te,170,0,33
34,"Anthony Fasano, KC",te,170,0,34
35,"Jacob Tamme, Den",te,170,0,35
36,"Delanie Walker, Ten",te,170,0,36
37,"Benjamin Watson, NO",te,170,0,37
38,"Tony Scheffler, Det",te,170,0,38
39,"Garrett Graham, Hou",te,170,0,39
40,"David Ausberry, Oak",te,170,0,40
41,"Dennis Pitta*, Bal",te,170,0,41
42,"Gavin Escobar, Dal",te,170,0,42
43,"Kyle Adams, Chi",te,170,0,43
44,"James Casey, Phi",te,170,0,44
45,"Michael Hoomanawanui, NE",te,170,0,45
46,"Vance McDonald, SF",te,170,0,46
47,"Joel Dreessen*, Den",te,170,0,47
48,"Luke Stocker, TB",te,170,0,48
49,"David Paulson, Pit",te,170,0,49
50,"Luke Willson, Sea",te,170,0,50
51,"Lance Kendricks, StL",te,170,0,51
52,"Charles Clay, Mia",te,170,0,52
53,"Travis Kelce, KC",te,170,0,53
54,"Andrew Quarless, GB",te,170,0,54
55,"Reggie Kelly, FA",te,170,0,55
56,"Jeff Cumberland, NYJ",te,170,0,56
57,"Mychal Rivera, Oak",te,170,0,57
58,"John Carlson, Min",te,170,0,58
59,"Adrien Robinson, NYG",te,170,0,59
60,"Taylor Thompson, Ten",te,170,0,60
61,"Dion Sims, Mia",te,170,0,61
62,"Todd Heap, FA",te,170,0,62
63,"Tom Crabtree, TB",te,170,0,63
64,"Jake Ballard, FA",te,170,0,64
65,"Ladarius Green, SD",te,170,0,65
66,"Alge Crumpler, FA",te,170,0,66
67,"Jeremy Shockey, FA",te,170,0,67
68,"Logan Paulsen, Wsh",te,170,0,68
69,"Virgil Green, Den",te,170,0,69
70,"Niles Paul, Wsh",te,170,0,70
71,"Nick Kasa, Oak",te,170,0,71
72,"Tony Stewart, FA",te,170,0,72
73,"Visanthe Shiancoe, FA",te,170,0,73
74,"Kris Wilson, FA",te,170,0,74
75,"Dustin Keller*, Mia",te,170,0,75
76,"J.J. Finley, FA",te,170,0,76
77,"David Johnson, Pit",te,170,0,77
78,"Dan Gronkowski, FA",te,170,0,78
79,"Tony Moeaki*, KC",te,170,0,79
80,"Anthony McCoy*, Sea",te,170,0,80
1,"Calvin Johnson, Det",wr,9.7,49.6,1
2,"A.J. Green, Cin",wr,16,40.1,2
3,"Dez Bryant, Dal",wr,17.8,38.2,3
4,"Brandon Marshall, Chi",wr,22.4,33.8,4
5,"Julio Jones, Atl",wr,22.6,32.6,5
6,"Demaryius Thomas, Den",wr,26.1,28.9,6
7,"Roddy White, Atl",wr,30,26.4,7
8,"Andre Johnson, Hou",wr,30.4,25.2,8
9,"Larry Fitzgerald, Ari",wr,34.4,23.9,9
10,"Vincent Jackson, TB",wr,35,22.8,10
11,"Randall Cobb, GB",wr,36.3,21.7,11
12,"Wes Welker, Den",wr,36.4,20.7,12
13,"Victor Cruz, NYG",wr,39.3,18.9,13
14,"Marques Colston, NO",wr,44.4,16.5,14
15,"Reggie Wayne, Ind",wr,45.4,15.9,15
17,"Danny Amendola, NE",wr,50.1,14.4,16
16,"Mike Wallace, Mia",wr,49.4,14.3,17
18,"Dwayne Bowe, KC",wr,56.9,13.5,18
19,"Hakeem Nicks, NYG",wr,57.2,12.3,19
20,"Steve Smith, Car",wr,57.3,11.6,20
21,"Eric Decker, Den",wr,58.1,11.4,21
22,"James Jones, GB",wr,61.8,10,22
23,"Jordy Nelson, GB",wr,67.7,9.8,23
24,"Antonio Brown, Pit",wr,68.2,9.6,24
27,"DeSean Jackson, Phi",wr,71,9.2,25
25,"Pierre Garcon, Wsh",wr,70.7,9.1,26
26,"Torrey Smith, Bal",wr,70.8,8.5,27
29,"Tavon Austin, StL",wr,82.4,7.4,28
30,"Cecil Shorts, Jac",wr,83,7.2,29
28,"Anquan Boldin, SF",wr,80.6,6.8,30
31,"Greg Jennings, Min",wr,83.8,6.8,31
34,"T.Y. Hilton, Ind",wr,90.1,6,32
33,"Steve Johnson, Buf",wr,88.9,5.8,33
35,"Miles Austin, Dal",wr,91.2,5.4,34
32,"Sidney Rice, Sea",wr,88.7,5.2,35
36,"Mike Williams, TB",wr,101.4,3.6,36
37,"Lance Moore, NO",wr,105.1,3.2,37
45,"Kenbrell Thompkins, NE",wr,127.7,3,38
49,"Percy Harvin*, Sea",wr,137.4,2.9,39
38,"Emmanuel Sanders, Pit",wr,115.8,2.3,40
40,"Chris Givens, StL",wr,118.4,2.3,41
43,"Josh Gordon, Cle",wr,122.4,2.3,42
39,"Kenny Britt, Ten",wr,115.8,2.2,43
41,"Golden Tate, Sea",wr,119.2,2,44
44,"Alshon Jeffery, Chi",wr,122.7,2,45
51,"Cordarrelle Patterson, Min",wr,140.1,2,46
42,"Denarius Moore, Oak",wr,120.8,1.8,47
48,"DeAndre Hopkins, Hou",wr,134.6,1.8,48
55,"Justin Blackmon, Jac",wr,141.6,1.7,49
46,"Vincent Brown, SD",wr,129.4,1.5,50
52,"Jacoby Jones, Bal",wr,140.3,1.5,51
56,"Santana Moss, Wsh",wr,141.6,1.5,52
53,"Ryan Broyles, Det",wr,140.9,1.4,53
47,"Michael Floyd, Ari",wr,133.9,1.3,54
58,"Darrius Heyward-Bey, Ind",wr,145.8,1.3,55
59,"Brian Hartline, Mia",wr,148,1.3,56
62,"Aaron Dobson, NE",wr,170,1.3,57
50,"Malcom Floyd, SD",wr,139.7,1.2,58
54,"Rueben Randle, NYG",wr,141.5,1.2,59
57,"Kendall Wright, Ten",wr,141.9,1.2,60
60,"Andre Roberts, Ari",wr,152.3,1.1,61
61,"Greg Little, Cle",wr,170,0,62
63,"Robert Woods, Buf",wr,170,0,63
64,"Nate Washington, Ten",wr,170,0,64
65,"Santonio Holmes, NYJ",wr,170,0,65
66,"Kenny Stills, NO",wr,170,0,66
67,"Michael Crabtree*, SF",wr,170,0,67
68,"Jeremy Kerley, NYJ",wr,170,0,68
69,"Quinton Patton, SF",wr,170,0,69
70,"Julian Edelman, NE",wr,170,0,70
71,"Brandon LaFell, Car",wr,170,0,71
72,"Nate Burleson, Det",wr,170,0,72
73,"Donnie Avery, KC",wr,170,0,73
74,"Riley Cooper, Phi",wr,170,0,74
75,"Mohamed Sanu, Cin",wr,170,0,75
76,"Markus Wheaton, Pit",wr,170,0,76
77,"Jason Avant, Phi",wr,170,0,77
78,"Keenan Allen, SD",wr,170,0,78
79,"Dexter McCluster, KC",wr,170,0,79
80,"Brandon Stokley, Bal",wr,170,0,80
81,"Rod Streater, Oak",wr,170,0,81
82,"Doug Baldwin, Sea",wr,170,0,82
83,"Brandon Gibson, Mia",wr,170,0,83
84,"Terrell Owens, FA",wr,170,0,84
85,"Davone Bess, Cle",wr,170,0,85
86,"Stephen Hill, NYJ",wr,170,0,86
87,"Brandon Lloyd, FA",wr,170,0,87
88,"Terrance Williams, Dal",wr,170,0,88
89,"Ted Ginn, Car",wr,170,0,89
90,"Jarius Wright, Min",wr,170,0,90
91,"Justin Hunter, Ten",wr,170,0,91
92,"Eddie Royal, SD",wr,170,0,92
93,"Jacoby Ford, Oak",wr,170,0,93
94,"Devin Hester, Chi",wr,170,0,94
95,"Randy Moss, FA",wr,170,0,95
96,"Jermaine Kearse, Sea",wr,170,0,96
97,"Marlon Brown, Bal",wr,170,0,97
98,"Leonard Hankerson, Wsh",wr,170,0,98
99,"Jerome Simpson, Min",wr,170,0,99
100,"Jon Baldwin, SF",wr,170,0,100
101,"Josh Morgan, Wsh",wr,170,0,101
102,"Jeremy Maclin*, Phi",wr,170,0,102
103,"Chad Johnson, FA",wr,170,0,103
104,"Mario Manningham*, SF",wr,170,0,104
105,"Kyle Williams, SF",wr,170,0,105
106,"Earl Bennett, Chi",wr,170,0,106
107,"Harry Douglas, Atl",wr,170,0,107
108,"Marlon Moore, SF",wr,170,0,108
109,"Andrew Hawkins*, Cin",wr,170,0,109
110,"Nick Toon, NO",wr,170,0,110
111,"Ace Sanders, Jac",wr,170,0,111
112,"Plaxico Burress*, Pit",wr,170,0,112
113,"Kevin Ogletree, TB",wr,170,0,113
114,"Aldrick Robinson, Wsh",wr,170,0,114
115,"Stedman Bailey, StL",wr,170,0,115
116,"T.J. Houshmandzadeh, FA",wr,170,0,116
117,"Dwayne Harris, Dal",wr,170,0,117
118,"T.J. Graham, Buf",wr,170,0,118
119,"Josh Boyce, NE",wr,170,0,119
120,"Robert Meachem, NO",wr,170,0,120
