school,year,conference
Eastern Michigan,1971,none
Eastern Michigan,1972,none
Eastern Michigan,1973,none
Eastern Michigan,1974,none
Eastern Michigan,1975,independent
Eastern Michigan,1976,mac
Eastern Michigan,1977,mac
Eastern Michigan,1978,mac
Eastern Michigan,1979,mac
Eastern Michigan,1980,mac
Eastern Michigan,1981,mac
Eastern Michigan,1982,mac
Eastern Michigan,1983,mac
Eastern Michigan,1984,mac
Eastern Michigan,1985,mac
Eastern Michigan,1986,mac
Eastern Michigan,1987,mac
Eastern Michigan,1988,mac
Eastern Michigan,1989,mac
Eastern Michigan,1990,mac
Eastern Michigan,1991,mac
Eastern Michigan,1992,mac
Eastern Michigan,1993,mac
Eastern Michigan,1994,mac
Eastern Michigan,1995,mac
Eastern Michigan,1996,mac
Eastern Michigan,1997,mac
Eastern Michigan,1998,mac
Eastern Michigan,1999,mac
Eastern Michigan,2000,mac
Eastern Michigan,2001,mac
Eastern Michigan,2002,mac
Eastern Michigan,2003,mac
Eastern Michigan,2004,mac
Eastern Michigan,2005,mac
Eastern Michigan,2006,mac
Eastern Michigan,2007,mac
Eastern Michigan,2008,mac
Eastern Michigan,2009,mac
Eastern Michigan,2010,mac
Eastern Michigan,2011,mac
Eastern Michigan,2012,mac
Eastern Michigan,2013,mac
Eastern Michigan,2014,mac
Eastern Michigan,2015,mac
Florida Atlantic,1965,none
Florida Atlantic,1966,none
Florida Atlantic,1967,none
Florida Atlantic,1968,none
Florida Atlantic,1969,none
Florida Atlantic,1970,none
Florida Atlantic,1971,none
Florida Atlantic,1972,none
Florida Atlantic,1973,none
Florida Atlantic,1974,none
Florida Atlantic,1975,none
Florida Atlantic,1976,none
Florida Atlantic,1977,none
Florida Atlantic,1978,none
Florida Atlantic,1979,none
Florida Atlantic,1980,none
Florida Atlantic,1981,none
Florida Atlantic,1982,none
Florida Atlantic,1983,none
Florida Atlantic,1984,none
Florida Atlantic,1985,none
Florida Atlantic,1986,none
Florida Atlantic,1987,none
Florida Atlantic,1988,none
Florida Atlantic,1989,none
Florida Atlantic,1990,none
Florida Atlantic,1991,none
Florida Atlantic,1992,none
Florida Atlantic,1993,none
Florida Atlantic,1994,none
Florida Atlantic,1995,none
Florida Atlantic,1996,none
Florida Atlantic,1997,none
Florida Atlantic,1998,none
Florida Atlantic,1999,none
Florida Atlantic,2000,none
Florida Atlantic,2001,none
Florida Atlantic,2002,none
Florida Atlantic,2003,none
Florida Atlantic,2004,sun-belt
Florida Atlantic,2005,sun-belt
Florida Atlantic,2006,sun-belt
Florida Atlantic,2007,sun-belt
Florida Atlantic,2008,sun-belt
Florida Atlantic,2009,sun-belt
Florida Atlantic,2010,sun-belt
Florida Atlantic,2011,sun-belt
Florida Atlantic,2012,sun-belt
Florida Atlantic,2013,cusa
Florida Atlantic,2014,cusa
Florida Atlantic,2015,cusa
Florida,1965,sec
Florida,1966,sec
Florida,1967,sec
Florida,1968,sec
Florida,1969,sec
Florida,1970,sec
Florida,1971,sec
Florida,1972,sec
Florida,1973,sec
Florida,1974,sec
Florida,1975,sec
Florida,1976,sec
Florida,1977,sec
Florida,1978,sec
Florida,1979,sec
Florida,1980,sec
Florida,1981,sec
Florida,1982,sec
Florida,1983,sec
Florida,1984,sec
Florida,1985,sec
Florida,1986,sec
Florida,1987,sec
Florida,1988,sec
Florida,1989,sec
Florida,1990,sec
Florida,1991,sec
Florida,1992,sec
Florida,1993,sec
Florida,1994,sec
Florida,1995,sec
Florida,1996,sec
Florida,1997,sec
Florida,1998,sec
Florida,1999,sec
Florida,2000,sec
Florida,2001,sec
Florida,2002,sec
Florida,2003,sec
Florida,2004,sec
Florida,2005,sec
Florida,2006,sec
Florida,2007,sec
Florida,2008,sec
Florida,2009,sec
Florida,2010,sec
Florida,2011,sec
Florida,2012,sec
Florida,2013,sec
Florida,2014,sec
Florida,2015,sec
Florida International,1965,none
Florida International,1966,none
Florida International,1967,none
Florida International,1968,none
Florida International,1969,none
Florida International,1970,none
Florida International,1971,none
Florida International,1972,none
Florida International,1973,none
Florida International,1974,none
Florida International,1975,none
Florida International,1976,none
Florida International,1977,none
Florida International,1978,none
Florida International,1979,none
Florida International,1980,none
Florida International,1981,none
Florida International,1982,none
Florida International,1983,none
Florida International,1984,none
Florida International,1985,none
Florida International,1986,none
Florida International,1987,none
Florida International,1988,none
Florida International,1989,none
Florida International,1990,none
Florida International,1991,none
Florida International,1992,none
Florida International,1993,none
Florida International,1994,none
Florida International,1995,none
Florida International,1996,none
Florida International,1997,none
Florida International,1998,none
Florida International,1999,none
Florida International,2000,none
Florida International,2001,none
Florida International,2002,none
Florida International,2003,none
Florida International,2004,sun-belt
Florida International,2005,sun-belt
Florida International,2006,sun-belt
Florida International,2007,sun-belt
Florida International,2008,sun-belt
Florida International,2009,sun-belt
Florida International,2010,sun-belt
Florida International,2011,sun-belt
Florida International,2012,sun-belt
Florida International,2013,cusa
Florida International,2014,cusa
Florida International,2015,cusa
Florida State,1965,independent
Florida State,1966,independent
Florida State,1967,independent
Florida State,1968,independent
Florida State,1969,independent
Florida State,1970,independent
Florida State,1971,independent
Florida State,1972,independent
Florida State,1973,independent
Florida State,1974,independent
Florida State,1975,independent
Florida State,1976,independent
Florida State,1977,independent
Florida State,1978,independent
Florida State,1979,independent
Florida State,1980,independent
Florida State,1981,independent
Florida State,1982,independent
Florida State,1983,independent
Florida State,1984,independent
Florida State,1985,independent
Florida State,1986,independent
Florida State,1987,independent
Florida State,1988,independent
Florida State,1989,independent
Florida State,1990,independent
Florida State,1991,independent
Florida State,1992,acc
Florida State,1993,acc
Florida State,1994,acc
Florida State,1995,acc
Florida State,1996,acc
Florida State,1997,acc
Florida State,1998,acc
Florida State,1999,acc
Florida State,2000,acc
Florida State,2001,acc
Florida State,2002,acc
Florida State,2003,acc
Florida State,2004,acc
Florida State,2005,acc
Florida State,2006,acc
Florida State,2007,acc
Florida State,2008,acc
Florida State,2009,acc
Florida State,2010,acc
Florida State,2011,acc
Florida State,2012,acc
Florida State,2013,acc
Florida State,2014,acc
Florida State,2015,acc
Fresno State,1965,none
Fresno State,1966,none
Fresno State,1967,none
Fresno State,1968,none
Fresno State,1969,big-west
Fresno State,1970,big-west
Fresno State,1971,big-west
Fresno State,1972,big-west
Fresno State,1973,big-west
Fresno State,1974,big-west
Fresno State,1975,big-west
Fresno State,1976,big-west
Fresno State,1977,big-west
Fresno State,1978,big-west
Fresno State,1979,big-west
Fresno State,1980,big-west
Fresno State,1981,big-west
Fresno State,1982,big-west
Fresno State,1983,big-west
Fresno State,1984,big-west
Fresno State,1985,big-west
Fresno State,1986,big-west
Fresno State,1987,big-west
Fresno State,1988,big-west
Fresno State,1989,big-west
Fresno State,1990,big-west
Fresno State,1991,big-west
Fresno State,1992,wac
Fresno State,1993,wac
Fresno State,1994,wac
Fresno State,1995,wac
Fresno State,1996,wac
Fresno State,1997,wac
Fresno State,1998,wac
Fresno State,1999,wac
Fresno State,2000,wac
Fresno State,2001,wac
Fresno State,2002,wac
Fresno State,2003,wac
Fresno State,2004,wac
Fresno State,2005,wac
Fresno State,2006,wac
Fresno State,2007,wac
Fresno State,2008,wac
Fresno State,2009,wac
Fresno State,2010,wac
Fresno State,2011,wac
Fresno State,2012,mwc
Fresno State,2013,mwc
Fresno State,2014,mwc
Fresno State,2015,mwc
Furman,1965,southern
Furman,1966,southern
Furman,1967,southern
Furman,1968,southern
Furman,1969,southern
Furman,1970,southern
Furman,1971,southern
Furman,1972,southern
Furman,1973,southern
Furman,1974,southern
Furman,1975,southern
Furman,1976,southern
Furman,1977,southern
Furman,1978,southern
Furman,1979,southern
Furman,1980,southern
Furman,1981,southern
Furman,1982,none
Furman,1983,none
Furman,1984,none
Furman,1985,none
Furman,1986,none
Furman,1987,none
Furman,1988,none
Furman,1989,none
Furman,1990,none
Furman,1991,none
Furman,1992,none
Furman,1993,none
Furman,1994,none
Furman,1995,none
Furman,1996,none
Furman,1997,none
Furman,1998,none
Furman,1999,none
Furman,2000,none
Furman,2001,none
Furman,2002,none
Furman,2003,none
Furman,2004,none
Furman,2005,none
Furman,2006,none
Furman,2007,none
Furman,2008,none
Furman,2009,none
Furman,2010,none
Furman,2011,none
Furman,2012,none
Furman,2013,none
Furman,2014,none
Furman,2015,none
George Washington,1965,southern
George Washington,1966,southern
George Washington,1967,none
George Washington,1968,none
George Washington,1969,none
George Washington,1970,none
George Washington,1971,none
George Washington,1972,none
George Washington,1973,none
George Washington,1974,none
George Washington,1975,none
George Washington,1976,none
George Washington,1977,none
George Washington,1978,none
George Washington,1979,none
George Washington,1980,none
George Washington,1981,none
George Washington,1982,none
George Washington,1983,none
George Washington,1984,none
George Washington,1985,none
George Washington,1986,none
George Washington,1987,none
George Washington,1988,none
George Washington,1989,none
George Washington,1990,none
George Washington,1991,none
George Washington,1992,none
George Washington,1993,none
George Washington,1994,none
George Washington,1995,none
George Washington,1996,none
George Washington,1997,none
George Washington,1998,none
George Washington,1999,none
George Washington,2000,none
George Washington,2001,none
George Washington,2002,none
George Washington,2003,none
George Washington,2004,none
George Washington,2005,none
George Washington,2006,none
George Washington,2007,none
George Washington,2008,none
George Washington,2009,none
George Washington,2010,none
George Washington,2011,none
George Washington,2012,none
George Washington,2013,none
George Washington,2014,none
George Washington,2015,none
Georgia,1965,sec
Georgia,1966,sec
Georgia,1967,sec
Georgia,1968,sec
Georgia,1969,sec
Georgia,1970,sec
Georgia,1971,sec
Georgia,1972,sec
Georgia,1973,sec
Georgia,1974,sec
Georgia,1975,sec
Georgia,1976,sec
Georgia,1977,sec
Georgia,1978,sec
Georgia,1979,sec
Georgia,1980,sec
Georgia,1981,sec
Georgia,1982,sec
Georgia,1983,sec
Georgia,1984,sec
Georgia,1985,sec
Georgia,1986,sec
Georgia,1987,sec
Georgia,1988,sec
Georgia,1989,sec
Georgia,1990,sec
Georgia,1991,sec
Georgia,1992,sec
Georgia,1993,sec
Georgia,1994,sec
Georgia,1995,sec
Georgia,1996,sec
Georgia,1997,sec
Georgia,1998,sec
Georgia,1999,sec
Georgia,2000,sec
Georgia,2001,sec
Georgia,2002,sec
Georgia,2003,sec
Georgia,2004,sec
Georgia,2005,sec
Georgia,2006,sec
Georgia,2007,sec
Georgia,2008,sec
Georgia,2009,sec
Georgia,2010,sec
Georgia,2011,sec
Georgia,2012,sec
Georgia,2013,sec
Georgia,2014,sec
Georgia,2015,sec
Georgia State,1965,none
Georgia State,1966,none
Georgia State,1967,none
Georgia State,1968,none
Georgia State,1969,none
Georgia State,1970,none
Georgia State,1971,none
Georgia State,1972,none
Georgia State,1973,none
Georgia State,1974,none
Georgia State,1975,none
Georgia State,1976,none
Georgia State,1977,none
Georgia State,1978,none
Georgia State,1979,none
Georgia State,1980,none
Georgia State,1981,none
Georgia State,1982,none
Georgia State,1983,none
Georgia State,1984,none
Georgia State,1985,none
Georgia State,1986,none
Georgia State,1987,none
Georgia State,1988,none
Georgia State,1989,none
Georgia State,1990,none
Georgia State,1991,none
Georgia State,1992,none
Georgia State,1993,none
Georgia State,1994,none
Georgia State,1995,none
Georgia State,1996,none
Georgia State,1997,none
Georgia State,1998,none
Georgia State,1999,none
Georgia State,2000,none
Georgia State,2001,none
Georgia State,2002,none
Georgia State,2003,none
Georgia State,2004,none
Georgia State,2005,none
Georgia State,2006,none
Georgia State,2007,none
Georgia State,2008,none
Georgia State,2009,none
Georgia State,2010,none
Georgia State,2011,none
Georgia State,2012,none
Georgia State,2013,sun-belt
Georgia State,2014,sun-belt
Georgia State,2015,sun-belt
Georgia Tech,1965,independent
Georgia Tech,1966,independent
Georgia Tech,1967,independent
Georgia Tech,1968,independent
Georgia Tech,1969,independent
Georgia Tech,1970,independent
Georgia Tech,1971,independent
Georgia Tech,1972,independent
Georgia Tech,1973,independent
Georgia Tech,1974,independent
Georgia Tech,1975,independent
Georgia Tech,1976,independent
Georgia Tech,1977,independent
Georgia Tech,1978,independent
Georgia Tech,1979,independent
Georgia Tech,1980,independent
Georgia Tech,1981,independent
Georgia Tech,1982,independent
Georgia Tech,1983,acc
Georgia Tech,1984,acc
Georgia Tech,1985,acc
Georgia Tech,1986,acc
Georgia Tech,1987,acc
Georgia Tech,1988,acc
Georgia Tech,1989,acc
Georgia Tech,1990,acc
Georgia Tech,1991,acc
Georgia Tech,1992,acc
Georgia Tech,1993,acc
Georgia Tech,1994,acc
Georgia Tech,1995,acc
Georgia Tech,1996,acc
Georgia Tech,1997,acc
Georgia Tech,1998,acc
Georgia Tech,1999,acc
Georgia Tech,2000,acc
Georgia Tech,2001,acc
Georgia Tech,2002,acc
Georgia Tech,2003,acc
Georgia Tech,2004,acc
Georgia Tech,2005,acc
Georgia Tech,2006,acc
Georgia Tech,2007,acc
Georgia Tech,2008,acc
Georgia Tech,2009,acc
Georgia Tech,2010,acc
Georgia Tech,2011,acc
Georgia Tech,2012,acc
Georgia Tech,2013,acc
Georgia Tech,2014,acc
Georgia Tech,2015,acc
Harvard,1965,ivy
Harvard,1966,ivy
Harvard,1967,ivy
Harvard,1968,ivy
Harvard,1969,ivy
Harvard,1970,ivy
Harvard,1971,ivy
Harvard,1972,ivy
Harvard,1973,ivy
Harvard,1974,ivy
Harvard,1975,ivy
Harvard,1976,ivy
Harvard,1977,ivy
Harvard,1978,ivy
Harvard,1979,ivy
Harvard,1980,ivy
Harvard,1981,ivy
Harvard,1982,none
Harvard,1983,none
Harvard,1984,none
Harvard,1985,none
Harvard,1986,none
Harvard,1987,none
Harvard,1988,none
Harvard,1989,none
Harvard,1990,none
Harvard,1991,none
Harvard,1992,none
Harvard,1993,none
Harvard,1994,none
Harvard,1995,none
Harvard,1996,none
Harvard,1997,none
Harvard,1998,none
Harvard,1999,none
Harvard,2000,none
Harvard,2001,none
Harvard,2002,none
Harvard,2003,none
Harvard,2004,none
Harvard,2005,none
Harvard,2006,none
Harvard,2007,none
Harvard,2008,none
Harvard,2009,none
Harvard,2010,none
Harvard,2011,none
Harvard,2012,none
Harvard,2013,none
Harvard,2014,none
Harvard,2015,none
Hawaii,1965,none
Hawaii,1966,none
Hawaii,1967,none
Hawaii,1968,none
Hawaii,1969,none
Hawaii,1970,none
Hawaii,1971,independent
Hawaii,1972,none
Hawaii,1973,none
Hawaii,1974,independent
Hawaii,1975,independent
Hawaii,1976,independent
Hawaii,1977,independent
Hawaii,1978,independent
Hawaii,1979,wac
Hawaii,1980,wac
Hawaii,1981,wac
Hawaii,1982,wac
Hawaii,1983,wac
Hawaii,1984,wac
Hawaii,1985,wac
Hawaii,1986,wac
Hawaii,1987,wac
Hawaii,1988,wac
Hawaii,1989,wac
Hawaii,1990,wac
Hawaii,1991,wac
Hawaii,1992,wac
Hawaii,1993,wac
Hawaii,1994,wac
Hawaii,1995,wac
Hawaii,1996,wac
Hawaii,1997,wac
Hawaii,1998,wac
Hawaii,1999,wac
Hawaii,2000,wac
Hawaii,2001,wac
Hawaii,2002,wac
Hawaii,2003,wac
Hawaii,2004,wac
Hawaii,2005,wac
Hawaii,2006,wac
Hawaii,2007,wac
Hawaii,2008,wac
Hawaii,2009,wac
Hawaii,2010,wac
Hawaii,2011,wac
Hawaii,2012,mwc
Hawaii,2013,mwc
Hawaii,2014,mwc
Hawaii,2015,mwc
Houston,1965,independent
Houston,1966,independent
Houston,1967,independent
Houston,1968,independent
Houston,1969,independent
Houston,1970,independent
Houston,1971,independent
Houston,1972,independent
Houston,1973,independent
Houston,1974,independent
Houston,1975,independent
Houston,1976,swc
Houston,1977,swc
Houston,1978,swc
Houston,1979,swc
Houston,1980,swc
Houston,1981,swc
Houston,1982,swc
Houston,1983,swc
Houston,1984,swc
Houston,1985,swc
Houston,1986,swc
Houston,1987,swc
Houston,1988,swc
Houston,1989,swc
Houston,1990,swc
Houston,1991,swc
Houston,1992,swc
Houston,1993,swc
Houston,1994,swc
Houston,1995,swc
Houston,1996,cusa
Houston,1997,cusa
Houston,1998,cusa
Houston,1999,cusa
Houston,2000,cusa
Houston,2001,cusa
Houston,2002,cusa
Houston,2003,cusa
Houston,2004,cusa
Houston,2005,cusa
Houston,2006,cusa
Houston,2007,cusa
Houston,2008,cusa
Houston,2009,cusa
Houston,2010,cusa
Houston,2011,cusa
Houston,2012,cusa
Houston,2013,american
Houston,2014,american
Houston,2015,american
Idaho,1965,independent
Idaho,1966,independent
Idaho,1967,independent
Idaho,1968,independent
Idaho,1969,independent
Idaho,1970,independent
Idaho,1971,independent
Idaho,1972,independent
Idaho,1973,independent
Idaho,1974,independent
Idaho,1975,none
Idaho,1976,none
Idaho,1977,none
Idaho,1978,none
Idaho,1979,none
Idaho,1980,none
Idaho,1981,none
Idaho,1982,none
Idaho,1983,none
Idaho,1984,none
Idaho,1985,none
Idaho,1986,none
Idaho,1987,none
Idaho,1988,none
Idaho,1989,none
Idaho,1990,none
Idaho,1991,none
Idaho,1992,none
Idaho,1993,none
Idaho,1994,none
Idaho,1995,none
Idaho,1996,big-west
Idaho,1997,big-west
Idaho,1998,big-west
Idaho,1999,big-west
Idaho,2000,big-west
Idaho,2001,sun-belt
Idaho,2002,sun-belt
Idaho,2003,sun-belt
Idaho,2004,sun-belt
Idaho,2005,wac
Idaho,2006,wac
Idaho,2007,wac
Idaho,2008,wac
Idaho,2009,wac
Idaho,2010,wac
Idaho,2011,wac
Idaho,2012,wac
Idaho,2013,independent
Idaho,2014,sun-belt
Idaho,2015,sun-belt
Illinois,1965,big-ten
Illinois,1966,big-ten
Illinois,1967,big-ten
Illinois,1968,big-ten
Illinois,1969,big-ten
Illinois,1970,big-ten
Illinois,1971,big-ten
Illinois,1972,big-ten
Illinois,1973,big-ten
Illinois,1974,big-ten
Illinois,1975,big-ten
Illinois,1976,big-ten
Illinois,1977,big-ten
Illinois,1978,big-ten
Illinois,1979,big-ten
Illinois,1980,big-ten
Illinois,1981,big-ten
Illinois,1982,big-ten
Illinois,1983,big-ten
Illinois,1984,big-ten
Illinois,1985,big-ten
Illinois,1986,big-ten
Illinois,1987,big-ten
Illinois,1988,big-ten
Illinois,1989,big-ten
Illinois,1990,big-ten
Illinois,1991,big-ten
Illinois,1992,big-ten
Illinois,1993,big-ten
Illinois,1994,big-ten
Illinois,1995,big-ten
Illinois,1996,big-ten
Illinois,1997,big-ten
Illinois,1998,big-ten
Illinois,1999,big-ten
Illinois,2000,big-ten
Illinois,2001,big-ten
Illinois,2002,big-ten
Illinois,2003,big-ten
Illinois,2004,big-ten
Illinois,2005,big-ten
Illinois,2006,big-ten
Illinois,2007,big-ten
Illinois,2008,big-ten
Illinois,2009,big-ten
Illinois,2010,big-ten
Illinois,2011,big-ten
Illinois,2012,big-ten
Illinois,2013,big-ten
Illinois,2014,big-ten
Illinois,2015,big-ten
Illinois State,1965,none
Illinois State,1966,none
Illinois State,1967,none
Illinois State,1968,none
Illinois State,1969,none
Illinois State,1970,none
Illinois State,1971,none
Illinois State,1972,none
Illinois State,1973,none
Illinois State,1974,none
Illinois State,1975,independent
Illinois State,1976,independent
Illinois State,1977,independent
Illinois State,1978,independent
Illinois State,1979,independent
Illinois State,1980,independent
Illinois State,1981,mvc
Illinois State,1982,mvc
Illinois State,1983,mvc
Illinois State,1984,mvc
Illinois State,1985,mvc
Illinois State,1986,none
Illinois State,1987,none
Illinois State,1988,none
Illinois State,1989,none
Illinois State,1990,none
Illinois State,1991,none
Illinois State,1992,none
Illinois State,1993,none
Illinois State,1994,none
Illinois State,1995,none
Illinois State,1996,none
Illinois State,1997,none
Illinois State,1998,none
Illinois State,1999,none
Illinois State,2000,none
Illinois State,2001,none
Illinois State,2002,none
Illinois State,2003,none
Illinois State,2004,none
Illinois State,2005,none
Illinois State,2006,none
Illinois State,2007,none
Illinois State,2008,none
Illinois State,2009,none
Illinois State,2010,none
Illinois State,2011,none
Illinois State,2012,none
Illinois State,2013,none
Illinois State,2014,none
Illinois State,2015,none
Indiana,1965,big-ten
Indiana,1966,big-ten
Indiana,1967,big-ten
Indiana,1968,big-ten
Indiana,1969,big-ten
Indiana,1970,big-ten
Indiana,1971,big-ten
Indiana,1972,big-ten
Indiana,1973,big-ten
Indiana,1974,big-ten
Indiana,1975,big-ten
Indiana,1976,big-ten
Indiana,1977,big-ten
Indiana,1978,big-ten
Indiana,1979,big-ten
Indiana,1980,big-ten
Indiana,1981,big-ten
Indiana,1982,big-ten
Indiana,1983,big-ten
Indiana,1984,big-ten
Indiana,1985,big-ten
Indiana,1986,big-ten
Indiana,1987,big-ten
Indiana,1988,big-ten
Indiana,1989,big-ten
Indiana,1990,big-ten
Indiana,1991,big-ten
Indiana,1992,big-ten
Indiana,1993,big-ten
Indiana,1994,big-ten
Indiana,1995,big-ten
Indiana,1996,big-ten
Indiana,1997,big-ten
Indiana,1998,big-ten
Indiana,1999,big-ten
Indiana,2000,big-ten
Indiana,2001,big-ten
Indiana,2002,big-ten
Indiana,2003,big-ten
Indiana,2004,big-ten
Indiana,2005,big-ten
Indiana,2006,big-ten
Indiana,2007,big-ten
Indiana,2008,big-ten
Indiana,2009,big-ten
Indiana,2010,big-ten
Indiana,2011,big-ten
Indiana,2012,big-ten
Indiana,2013,big-ten
Indiana,2014,big-ten
Indiana,2015,big-ten
Indiana State,1965,none
Indiana State,1966,none
Indiana State,1967,none
Indiana State,1968,none
Indiana State,1969,none
Indiana State,1970,none
Indiana State,1971,none
Indiana State,1972,none
Indiana State,1973,none
Indiana State,1974,none
Indiana State,1975,independent
Indiana State,1976,independent
Indiana State,1977,independent
Indiana State,1978,mvc
Indiana State,1979,mvc
Indiana State,1980,mvc
Indiana State,1981,mvc
Indiana State,1982,mvc
Indiana State,1983,mvc
Indiana State,1984,mvc
Indiana State,1985,mvc
Indiana State,1986,none
Indiana State,1987,none
Indiana State,1988,none
Indiana State,1989,none
Indiana State,1990,none
Indiana State,1991,none
Indiana State,1992,none
Indiana State,1993,none
Indiana State,1994,none
Indiana State,1995,none
Indiana State,1996,none
Indiana State,1997,none
Indiana State,1998,none
Indiana State,1999,none
Indiana State,2000,none
Indiana State,2001,none
Indiana State,2002,none
Indiana State,2003,none
Indiana State,2004,none
Indiana State,2005,none
Indiana State,2006,none
Indiana State,2007,none
Indiana State,2008,none
Indiana State,2009,none
Indiana State,2010,none
Indiana State,2011,none
Indiana State,2012,none
Indiana State,2013,none
Indiana State,2014,none
Indiana State,2015,none
Iowa,1965,big-ten
Iowa,1966,big-ten
Iowa,1967,big-ten
Iowa,1968,big-ten
Iowa,1969,big-ten
Iowa,1970,big-ten
Iowa,1971,big-ten
Iowa,1972,big-ten
Iowa,1973,big-ten
Iowa,1974,big-ten
Iowa,1975,big-ten
Iowa,1976,big-ten
Iowa,1977,big-ten
Iowa,1978,big-ten
Iowa,1979,big-ten
Iowa,1980,big-ten
Iowa,1981,big-ten
Iowa,1982,big-ten
Iowa,1983,big-ten
Iowa,1984,big-ten
Iowa,1985,big-ten
Iowa,1986,big-ten
Iowa,1987,big-ten
Iowa,1988,big-ten
Iowa,1989,big-ten
Iowa,1990,big-ten
Iowa,1991,big-ten
Iowa,1992,big-ten
Iowa,1993,big-ten
Iowa,1994,big-ten
Iowa,1995,big-ten
Iowa,1996,big-ten
Iowa,1997,big-ten
Iowa,1998,big-ten
Iowa,1999,big-ten
Iowa,2000,big-ten
Iowa,2001,big-ten
Iowa,2002,big-ten
Iowa,2003,big-ten
Iowa,2004,big-ten
Iowa,2005,big-ten
Iowa,2006,big-ten
Iowa,2007,big-ten
Iowa,2008,big-ten
Iowa,2009,big-ten
Iowa,2010,big-ten
Iowa,2011,big-ten
Iowa,2012,big-ten
Iowa,2013,big-ten
Iowa,2014,big-ten
Iowa,2015,big-ten
Iowa State,1965,big-8
Iowa State,1966,big-8
Iowa State,1967,big-8
Iowa State,1968,big-8
Iowa State,1969,big-8
Iowa State,1970,big-8
Iowa State,1971,big-8
Iowa State,1972,big-8
Iowa State,1973,big-8
Iowa State,1974,big-8
Iowa State,1975,big-8
Iowa State,1976,big-8
Iowa State,1977,big-8
Iowa State,1978,big-8
Iowa State,1979,big-8
Iowa State,1980,big-8
Iowa State,1981,big-8
Iowa State,1982,big-8
Iowa State,1983,big-8
Iowa State,1984,big-8
Iowa State,1985,big-8
Iowa State,1986,big-8
Iowa State,1987,big-8
Iowa State,1988,big-8
Iowa State,1989,big-8
Iowa State,1990,big-8
Iowa State,1991,big-8
Iowa State,1992,big-8
Iowa State,1993,big-8
Iowa State,1994,big-8
Iowa State,1995,big-8
Iowa State,1996,big-12
Iowa State,1997,big-12
Iowa State,1998,big-12
Iowa State,1999,big-12
Iowa State,2000,big-12
Iowa State,2001,big-12
Iowa State,2002,big-12
Iowa State,2003,big-12
Iowa State,2004,big-12
Iowa State,2005,big-12
Iowa State,2006,big-12
Iowa State,2007,big-12
Iowa State,2008,big-12
Iowa State,2009,big-12
Iowa State,2010,big-12
Iowa State,2011,big-12
Iowa State,2012,big-12
Iowa State,2013,big-12
Iowa State,2014,big-12
Iowa State,2015,big-12
Kansas,1965,big-8
Kansas,1966,big-8
Kansas,1967,big-8
Kansas,1968,big-8
Kansas,1969,big-8
Kansas,1970,big-8
Kansas,1971,big-8
Kansas,1972,big-8
Kansas,1973,big-8
Kansas,1974,big-8
Kansas,1975,big-8
Kansas,1976,big-8
Kansas,1977,big-8
Kansas,1978,big-8
Kansas,1979,big-8
Kansas,1980,big-8
Kansas,1981,big-8
Kansas,1982,big-8
Kansas,1983,big-8
Kansas,1984,big-8
Kansas,1985,big-8
Kansas,1986,big-8
Kansas,1987,big-8
Kansas,1988,big-8
Kansas,1989,big-8
Kansas,1990,big-8
Kansas,1991,big-8
Kansas,1992,big-8
Kansas,1993,big-8
Kansas,1994,big-8
Kansas,1995,big-8
Kansas,1996,big-12
Kansas,1997,big-12
Kansas,1998,big-12
Kansas,1999,big-12
Kansas,2000,big-12
Kansas,2001,big-12
Kansas,2002,big-12
Kansas,2003,big-12
Kansas,2004,big-12
Kansas,2005,big-12
Kansas,2006,big-12
Kansas,2007,big-12
Kansas,2008,big-12
Kansas,2009,big-12
Kansas,2010,big-12
Kansas,2011,big-12
Kansas,2012,big-12
Kansas,2013,big-12
Kansas,2014,big-12
Kansas,2015,big-12
Kansas State,1965,big-8
Kansas State,1966,big-8
Kansas State,1967,big-8
Kansas State,1968,big-8
Kansas State,1969,big-8
Kansas State,1970,big-8
Kansas State,1971,big-8
Kansas State,1972,big-8
Kansas State,1973,big-8
Kansas State,1974,big-8
Kansas State,1975,big-8
Kansas State,1976,big-8
Kansas State,1977,big-8
Kansas State,1978,big-8
Kansas State,1979,big-8
Kansas State,1980,big-8
Kansas State,1981,big-8
Kansas State,1982,big-8
Kansas State,1983,big-8
Kansas State,1984,big-8
Kansas State,1985,big-8
Kansas State,1986,big-8
Kansas State,1987,big-8
Kansas State,1988,big-8
Kansas State,1989,big-8
Kansas State,1990,big-8
Kansas State,1991,big-8
Kansas State,1992,big-8
Kansas State,1993,big-8
Kansas State,1994,big-8
Kansas State,1995,big-8
Kansas State,1996,big-12
Kansas State,1997,big-12
Kansas State,1998,big-12
Kansas State,1999,big-12
Kansas State,2000,big-12
Kansas State,2001,big-12
Kansas State,2002,big-12
Kansas State,2003,big-12
Kansas State,2004,big-12
Kansas State,2005,big-12
Kansas State,2006,big-12
Kansas State,2007,big-12
Kansas State,2008,big-12
Kansas State,2009,big-12
Kansas State,2010,big-12
Kansas State,2011,big-12
Kansas State,2012,big-12
Kansas State,2013,big-12
Kansas State,2014,big-12
Kansas State,2015,big-12
Kent State,1965,mac
Kent State,1966,mac
Kent State,1967,mac
Kent State,1968,mac
Kent State,1969,mac
Kent State,1970,mac
Kent State,1971,mac
Kent State,1972,mac
Kent State,1973,mac
Kent State,1974,mac
Kent State,1975,mac
Kent State,1976,mac
Kent State,1977,mac
