"FAYETTEVILLE, PA",Franklin,Franklin
"CHURCHVILLE, PA",Bucks,Bucks
"MEXIA, TX",Limestone,Limestone
"DIBOLL, TX",Angelina,Angelina
"MORRIS, IL",Grundy,Grundy
"BOONTON, NJ",Morris,Morris
"MANCHESTER, CT",Hartford,Hartford
"XENIA, OH",Greene,Greene
"MADISON HEIGHTS, MI",Oakland,Oakland
"WAHIAWA, HI",Honolulu County,Honolulu County
"NORTH BAY, NY",Oneida,Oneida
"POINT PLEASANT, NJ",Ocean,Ocean
"GOOSE CREEK, SC",Berkeley,Berkeley
"WAYNESBORO, TN",Wayne,Wayne
"WANAQUE, NJ",Passaic,Passaic
"PARK CITY, UT",Summit County,Summit County
"SILVERTON, OR",Marion County,Marion County
"LIVONIA, MI",Wayne,Wayne
"IVANHOE, TX",Fannin,Fannin
"ROSEBURG, OR",Douglas County,Douglas County
"JACKSON, LA",East Feliciana,East Feliciana
"NIPOMO, CA",San Luis Obispo County,San Luis Obispo County
"LUVERNE, AL",Crenshaw,Crenshaw
"VICTORIA, IL",Knox,Knox
"GREENFIELD, WI",Milwaukee,Milwaukee
"AUBURN, WA",King County,King County
"LEO, IN",Allen,Allen
"BARTLESVILLE, OK",Washington,Washington
"NEW PORT RICHEY, FL",Pasco,Pasco
"HOBBS, NM",Lea,Lea
"CARPENTERSVILLE, IL",Kane,Kane
"KENNESAW, GA",Cobb,Cobb
"HERCULES, CA",Contra Costa County,Contra Costa County
"SALT LICK, KY",Bath,Bath
"HARRIMAN, TN",Roane,Roane
"NORTH POTOMAC, MD",Montgomery,Montgomery
"TAYLORSVILLE, KY",Spencer,Spencer
"OLD HICKORY, TN",Davidson,Davidson
"DUNCANVILLE, TX",Dallas,Dallas
"WORLAND, WY",Washakie,Washakie
"DUNNELLON, FL",Marion,Marion
"MONTAGUE, MI",Muskegon,Muskegon
"LANETT, AL",Chambers,Chambers
"LEVITTOWN, NY",Nassau,Nassau
"RANDALLSTOWN, MD",Baltimore,Baltimore
"FOLKSTON, GA",Charlton,Charlton
"CEDAR RAPIDS, IA",Linn,Linn
"TOWNSHIP OF WASHINGTON, NJ",Bergen,Bergen
"HARDY, AR",Sharp,Sharp
"MOORESTOWN, NJ",Burlington,Burlington
"RUPERT, ID",Minidoka,Minidoka
"MARYVILLE, TN",Blount,Blount
"HALEDON, NJ",Passaic,Passaic
"CHAMBERSBURG, PA",Franklin,Franklin
"OAKLAND PARK, FL",Broward,Broward
"GAINESVILLE, TX",Cooke,Cooke
"SAUKVILLE, WI",Ozaukee,Ozaukee
"PORT GIBSON, MS",Claiborne,Claiborne
"ASHLAND, VA",Hanover,Hanover
"OAKLAND, CA",Alameda County,Alameda County
"DEXTER, GA",Laurens,Laurens
"LOCKPORT, IL",Will,Will
"SELMA, AL",Dallas,Dallas
"SNOWFLAKE, AZ",Navajo,Navajo
"ORCHARD LAKE, MI",Oakland,Oakland
"ROCHELLE, GA",Wilcox,Wilcox
"PISCATAWAY, NJ",Middlesex,Middlesex
"FRESNO, TX",Fort Bend,Fort Bend
"LAKE DALLAS, TX",Denton,Denton
"LINCOLN, IL",Logan,Logan
"CLINTON, CT",Middlesex,Middlesex
"PONTOTOC, MS",Pontotoc,Pontotoc
"PHILADELPHIA, MS",Neshoba,Neshoba
"LAUDERHILL, FL",Broward,Broward
"GUYTON, GA",Effingham,Effingham
"CAMILLA, GA",Mitchell,Mitchell
"MEBANE, NC",Alamance,Alamance
"EAST GREENWICH, RI",Kent,Kent
"LIVINGSTON, AL",Sumter,Sumter
"POWAY, CA",San Diego County,San Diego County
"LEBANON, TN",Wilson,Wilson
"LIBERTY HILL, TX",Williamson,Williamson
"WEST LAWN, PA",Berks,Berks
"INDIANA, PA",Indiana,Indiana
"DE WITT, NE",Saline,Saline
"AUGUSTA, GA",Richmond,Richmond
"MORGAN CITY, LA",St. Mary,St Mary
"PEVELY, MO",Jefferson,Jefferson
"SANDY SPRING, MD",Montgomery,Montgomery
"WEST WINDSOR, NJ",Mercer,Mercer
"SHELBYVILLE, KY",Shelby,Shelby
"MALVERN, PA",Chester,Chester
"ODENTON, MD",Anne Arundel,Anne Arundel
"RED SPRINGS, NC",Robeson,Robeson
"YULEE, FL",Nassau,Nassau
"GOOCHLAND, VA",Goochland,Goochland
"THOMASVILLE, AL",Clarke,Clarke
"PENSACOLA, FL",Escambia,Escambia
"FUQUAY VARINA, NC",Wake,Wake
"CANTON, CT",Hartford,Hartford
"SPRING VALLEY, NY",Rockland,Rockland
"SNELLVILLE, GA",Gwinnett,Gwinnett
"SURRY, VA",Surry,Surry
"SHERIDAN, WY",Sheridan,Sheridan
"BAKERSFIELD, CA",Kern County,Kern County
"FORT MYERS, FL",Lee,Lee
"SHALIMAR, FL",Okaloosa,Okaloosa
"PALM COAST, FL",Flagler,Flagler
"RAHWAY, NJ",Union,Union
"GRANDVILLE, MI",Kent,Kent
"DENVER, NC",Lincoln,Lincoln
"TREVOR, WI",Kenosha,Kenosha
"NORTH RICHLAND HILLS, TX",Tarrant,Tarrant
"BRADENTON, FL",Manatee,Manatee
"SOPHIA, NC",Randolph,Randolph
"MANAHAWKIN, NJ",Ocean,Ocean
"MOUNTAIN BROOK, AL",Jefferson,Jefferson
"BAILEY, NC",Nash,Nash
"STUART, FL",Martin,Martin
"STROUDSBURG, PA",Monroe,Monroe
"HILLSBOROUGH, NJ",Somerset,Somerset
"LUGOFF, SC",Kershaw,Kershaw
"SUNFISH LAKE, MN",Dakota,Dakota
"SILVER LAKE, KS",Shawnee,Shawnee
"DES ARC, AR",Prairie,Prairie
"REVLOC, PA",Cambria,Cambria
"JONESBORO, IL",Union,Union
"ANDALE, KS",Sedgwick,Sedgwick
"KALAMAZOO, MI",Kalamazoo,Kalamazoo
"COLUMBIA HEIGHTS, MN",Anoka,Anoka
"BRIDGEPORT, CT",Fairfield,Fairfield
"SAINT MICHAEL, MN",Wright,Wright
"DEL RIO, TX",Val Verde,Val Verde
"MERIDEN, CT",New Haven,New Haven
"INVERNESS, IL",Cook,Cook
"JACKSONVILLE BEACH, FL",Duval,Duval
"PAXICO, KS",Wabaunsee,Wabaunsee
"EL SOBRANTE, CA",Contra Costa County,Contra Costa County
"CATAWBA, NC",Catawba,Catawba
"WEST JORDAN, UT",Salt Lake County,Salt Lake County
"ARROYO GRANDE, CA",San Luis Obispo County,San Luis Obispo County
"SWEET WATER, AL",Marengo,Marengo
"HUNTSVILLE, OH",Logan,Logan
"SHAKER HEIGHTS, OH",Cuyahoga,Cuyahoga
"ORANGE PARK, FL",Clay,Clay
"MCVILLE, ND",Nelson,Nelson
"KINGFISHER, OK",Kingfisher,Kingfisher
"ISLE OF PALMS, SC",Charleston,Charleston
"SOUTH HOUSTON, TX",Harris,Harris
"CASEY, IL",Clark,Clark
"LEBANON, KY",Marion,Marion
"UNIONDALE, NY",Nassau,Nassau
"WEST RIVER, MD",Anne Arundel,Anne Arundel
"BELLMORE, NY",Nassau,Nassau
"SALEM, MA",Essex,Essex
"ANDOVER, KS",Butler,Butler
"NICEVILLE, FL",Okaloosa,Okaloosa
"PARKER, CO",Douglas,Douglas
"LAKE VIEW, SC",Dillon,Dillon
"RICHMOND HILL, GA",Bryan,Bryan
"BURTON, TX",Washington,Washington
"FLORIDA CITY, FL",Miami-Dade,Miami-Dade
"MANVEL, TX",Brazoria,Brazoria
"HILO, HI",Hawaii County,Hawaii County
"EL DORADO HILLS, CA",El Dorado County,El Dorado County
"MONTVILLE, NJ",Morris,Morris
"RUTHERFORD, NJ",Bergen,Bergen
"ABINGDON, MD",Harford,Harford
"PINELLAS PARK, FL",Pinellas,Pinellas
"SUMTERVILLE, FL",Sumter,Sumter
"PURCELLVILLE, VA",Loudoun,Loudoun
"LAWNDALE, CA",Los Angeles County,Los Angeles County
"LOMBARD, IL",DuPage,Dupage
"WARREN, OH",Trumbull,Trumbull
"HUNTLEY, IL",McHenry,McHenry
"DEMAREST, NJ",Bergen,Bergen
"LORAIN, OH",Lorain,Lorain
"STERLING, MA",Worcester,Worcester
"ROBINSON, IL",Crawford,Crawford
"SHERWOOD, OR",Washington County,Washington County
"CLAY CENTER, KS",Clay,Clay
"HARMONY, PA",Butler,Butler
"GOODWATER, AL",Coosa,Coosa
"CHAPEL HILL, NC",Orange,Orange
"WEST HAVEN, CT",New Haven,New Haven
"TRIPOLI, IA",Bremer,Bremer
"PRESCOTT, AZ",Yavapai,Yavapai
"QUINCY, FL",Gadsden,Gadsden
"PRESCOTT, AR",Nevada,Nevada
"ORRINGTON, ME",Penobscot,Penobscot
"BEDFORD, OH",Cuyahoga,Cuyahoga
"MERRILL, WI",Lincoln,Lincoln
"BOILING SPRINGS, SC",Spartanburg,Spartanburg
"MUSTANG, OK",Canadian,Canadian
"SOUTH LAKE TAHOE, CA",El Dorado County,El Dorado County
"EAST POINT, GA",Fulton,Fulton
"MILAN, GA",Telfair,Telfair
"PEARL, MS",Rankin,Rankin
"ONEONTA, AL",Blount,Blount
"HIGHLAND PARK, IL",Lake,Lake
"WALKERTOWN, NC",Forsyth,Forsyth
"SPANAWAY, WA",Pierce County,Pierce County
"SAINT CLOUD, FL",Osceola,Osceola
"FAYETTEVILLE, NC",Cumberland,Cumberland
"BROOKVILLE, KS",Saline,Saline
"COWPENS, SC",Spartanburg,Spartanburg
"GRANTS PASS, OR",Josephine County,Josephine County
"SEVEN CORNERS, VA",Fairfax,Fairfax
"NORTH BEND, OH",Hamilton,Hamilton
"PALM HARBOR, FL",Pinellas,Pinellas
"LINCROFT, NJ",Monmouth,Monmouth
"SEFFNER, FL",Hillsborough,Hillsborough
"ENGLEWOOD, FL",Sarasota,Sarasota
"HANOVER, VA",Hanover,Hanover
"FROSTBURG, MD",Allegany,Allegany
"EAST HANOVER, NJ",Morris,Morris
"FOLSOM, CA",Sacramento County,Sacramento County
"HICKSVILLE, NY",Nassau,Nassau
"MARENGO, IL",McHenry,McHenry
"PLANO, TX",Collin,Collin
"OSWEGO, IL",Kendall,Kendall
"GALLANT, AL",Etowah,Etowah
"JACKSON, NJ",Ocean,Ocean
"SAINT DAVIDS, PA",Delaware,Delaware
"WINDHAM, ME",Cumberland,Cumberland
"SPARTA, IL",Randolph,Randolph
"HOLLISTER, CA",San Benito County,San Benito County
"CAMP LEJEUNE, NC",Onslow,Onslow
"WEST FRIENDSHIP, MD",Howard,Howard
"TUSCUMBIA, AL",Colbert,Colbert
"ATHENS, OH",Athens,Athens
"HILLSBORO, ND",Traill,Traill
"HUNT VALLEY, MD",Baltimore,Baltimore
"BAY SAINT LOUIS, MS",Hancock,Hancock
"MANSFIELD, TX",Tarrant,Tarrant
"GREENWOOD, AR",Sebastian,Sebastian
"VESTAVIA HILLS, AL",Jefferson,Jefferson
"WINSLOW, NJ",Camden,Camden
"HOPKINTON, NH",Merrimack,Merrimack
"FORT LEWIS, WA",Pierce County,Pierce County
"LINCOLN PARK, NJ",Essex,Essex
"GORDONSVILLE, TN",Smith,Smith
"CARMEL, IN",Hamilton,Hamilton
"SODDY DAISY, TN",Hamilton,Hamilton
"COMFORT, TX",Kendall,Kendall
"SOUTH DAYTONA, FL",Volusia,Volusia
"PRAIRIE VIEW, TX",Waller,Waller
"NEW AUGUSTA, MS",Perry,Perry
"RIVERSIDE, CT",Fairfield,Fairfield
"EDISON, NJ",Middlesex,Middlesex
"MUKILTEO, WA",Snohomish County,Snohomish County
"FRANKLINTON, LA",Washington,Washington
"RIVERSIDE, CA",Riverside County,Riverside County
"MISSISSAUGA, ON",Peel Regional Municipality,Peel Regional Municipality
"BURGAW, NC",Pender,Pender
"GAINESVILLE, VA",Prince William,Prince William
"SARTELL, MN",Stearns,Stearns
"TIFFIN, OH",Seneca,Seneca
"GARLAND, NC",Sampson,Sampson
"MIDLAND, VA",Fauquier,Fauquier
"LITTLEFIELD, TX",Lamb,Lamb
"ACCOKEEK, MD",Prince George's,Prince George's
"ALLENDALE, SC",Allendale,Allendale
"EUCLID, OH",Cuyahoga,Cuyahoga
"OAK HILL, FL",Volusia,Volusia
"DACULA, GA",Gwinnett,Gwinnett
"ASOTIN, WA",Asotin County,Asotin County
"LAGUNA BEACH, CA",Orange County,Orange County
"WINNIE, TX",Chambers,Chambers
"OZARK, AR",Franklin,Franklin
"SAINT GEORGE, UT",Washington County,Washington County
"EAST BRIDGEWATER, MA",Plymouth,Plymouth
"AUDUBON, NJ",Camden,Camden
"HOLYOKE, MA",Hampden,Hampden
"ALTAMONT, KS",Labette,Labette
"WHITEHOUSE, TX",Smith,Smith
"VENTURA, CA",Ventura County,Ventura County
"WOOSTER, OH",Wayne,Wayne
"DUBOIS, WY",Fremont,Fremont
"WEYAUWEGA, WI",Waupaca,Waupaca
"LIBERTY TOWNSHIP, OH",Butler,Butler
"PEARCY, AR",Garland,Garland
"NORWALK, IA",Warren,Warren
"LEBANON, VA",Russell,Russell
"CIBOLO, TX",Guadalupe,Guadalupe
"CHAMPLIN, MN",Hennepin,Hennepin
"CHARLOTTE, TN",Dickson,Dickson
"JOHNSBURG, IL",McHenry,McHenry
"MARIETTA, GA",Cobb,Cobb
"LAKEWOOD, WA",Pierce County,Pierce County
"GLEN SAINT MARY, FL",Baker,Baker
"PORT JEFFERSON, NY",Suffolk,Suffolk
"WARRENSVILLE HEIGHTS, OH",Cuyahoga,Cuyahoga
"VAN ALSTYNE, TX",Grayson,Grayson
"PROSPECT, VA",Prince Edward,Prince Edward
"SWAMPSCOTT, MA",Essex,Essex
"WILDWOOD, FL",Sumter,Sumter
"MADISON, SD",Lake,Lake
"TINTON FALLS, NJ",Monmouth,Monmouth
"HOPKINSVILLE, KY",Christian,Christian
"VANDERBILT, TX",Jackson,Jackson
"FRONTENAC, KS",Crawford,Crawford
"CASTAIC, CA",Los Angeles County,Los Angeles County
"FREMONT, OH",Sandusky,Sandusky
"BEMIDJI, MN",Beltrami,Beltrami
"PHOENIX, MD",Baltimore,Baltimore
"WATER VALLEY, MS",Yalobusha,Yalobusha
"WESTFIELD, MA",Hampden,Hampden
"HACKETTSTOWN, NJ",Warren,Warren
"ABBEVILLE, LA",Vermilion,Vermilion
"SEDGWICK, KS",Harvey,Harvey
"DUMFRIES, VA",Prince William,Prince William
"DUNLO, PA",Cambria,Cambria
"FOOTHILL RANCH, CA",Orange County,Orange County
"EAST WINDSOR, NJ",Mercer,Mercer
"PRINCE GEORGE, VA",Prince George,Prince George
"BROOKFIELD, NY",Madison,Madison
"DALLAS, PA",Luzerne,Luzerne
"MCALLEN, TX",Hidalgo,Hidalgo
"EVERGREEN PARK, IL",Cook,Cook
"VANDALIA, OH",Montgomery,Montgomery
"GERMANTOWN, TN",Shelby,Shelby
"LINDEN, NJ",Union,Union
"BOWLING GREEN, KY",Warren,Warren
"WILLISTON, ND",Williams,Williams
"AVON, OH",Lorain,Lorain
"BEL AIR, MD",Harford,Harford
"ARGYLE, TX",Denton,Denton
"SALISBURY, CT",Litchfield,Litchfield
"HOLT, MI",Ingham,Ingham
"FEDERAL WAY, WA",King County,King County
"BUENA VISTA, GA",Marion,Marion
"LEXINGTON, TN",Henderson,Henderson
"CHAPPAQUA, NY",Westchester,Westchester
"CANADIAN, TX",Hemphill,Hemphill
"VERNON HILLS, IL",Lake,Lake
"HOOVER, AL",Jefferson,Jefferson
"YUMA, AZ",Yuma,Yuma
"PORT NECHES, TX",Jefferson,Jefferson
"ONA, WV",Cabell,Cabell
"LOS ALAMITOS, CA",Orange County,Orange County
"ALEXANDER, NY",Genesee,Genesee
"ROXBURY, MA",Suffolk,Suffolk
"MIDDLETOWN, MD",Frederick,Frederick
"NANTY GLO, PA",Cambria,Cambria
"BLUFFTON, OH",Allen,Allen
"RUSKIN, FL",Hillsborough,Hillsborough
"ROCKFORD, MI",Kent,Kent
"DUVALL, WA",King County,King County
"BLUEFIELD, WV",Mercer,Mercer
"JOHNSTOWN, OH",Licking,Licking
"HAVERTOWN, PA",Delaware,Delaware
"BROOKHAVEN, PA",Delaware,Delaware
"SULPHUR SPRINGS, TX",Hopkins,Hopkins
"SPRINGBORO, OH",Warren,Warren
"FITCHBURG, WI",Dane,Dane
"BEALETON, VA",Fauquier,Fauquier
"LYNDHURST, OH",Cuyahoga,Cuyahoga
"GAUTIER, MS",Jackson,Jackson
"LAKEVILLE, MN",Dakota,Dakota
"KAPAA, HI",Kauai County,Kauai County
"DAVIDSONVILLE, MD",Anne Arundel,Anne Arundel
"TYRONE, GA",Fayette,Fayette
"HIGGINS, TX",Lipscomb,Lipscomb
"CALEDONIA, MS",Lowndes,Lowndes
"BLOOMSBURG, PA",Columbia,Columbia
"NORTH VERSAILLES, PA",Allegheny,Allegheny
"HEMET, CA",Riverside County,Riverside County
"CALEDONIA, MN",Houston,Houston
"LAURINBURG, NC",Scotland,Scotland
"BROCKTON, MA",Plymouth,Plymouth
"ADA, OK",Pontotoc,Pontotoc
"GRANDVIEW, MO",Jackson,Jackson
"HATTIESBURG, MS",Forrest,Forrest
"WARREN, MI",Macomb,Macomb
"FREDONIA, NY",Chautauqua,Chautauqua
"ATLANTA, TX",Cass,Cass
"MODESTA, CA",Stanislaus County,Stanislaus County
"HAYWARD, CA",Alameda County,Alameda County
"ALEDO, TX",Parker,Parker
"LENOIR CITY, TN",Loudon,Loudon
"KENILWORTH, IL",Cook,Cook
"WEST SPRINGFIELD, VA",Fairfax,Fairfax
"DARIEN, CT",Fairfield,Fairfield
"BOUNTIFUL, UT",Davis County,Davis County
"PRAIRIE VIEW, KS",Phillips,Phillips
"THE COLONY, TX",Denton,Denton
"TALLMADGE, OH",Summit,Summit
"BANGOR, ME",Penobscot,Penobscot
"ANCHORAGE, AK",Anchorage,Anchorage
"ROCKTON, IL",Winnebago,Winnebago
"BEDFORD, MA",Middlesex,Middlesex
"WHEATON, IL",DuPage,Dupage
"BARNEGAT, NJ",Ocean,Ocean
"LAKE PROVIDENCE, LA",East Carroll,East Carroll
"SCHAUMBURG, IL",Cook,Cook
"PLAYA DEL REY, CA",Los Angeles County,Los Angeles County
"HURTSBORO, AL",Russell,Russell
"LADERA RANCH, CA",Orange County,Orange County
"WAKEFIELD, RI",Washington,Washington
"CLAIRTON, PA",Allegheny,Allegheny
"GLENMONT, OH",Holmes,Holmes
"LEESBURG, FL",Lake,Lake
"YUBA CITY, CA",Sutter County,Sutter County
"RANGER, GA",Gordon,Gordon
"PAYSON, AZ",Gila,Gila
"HAWAII KAI, HI",Honolulu County,Honolulu County
"BRAMPTON, ON",Peel Regional Municipality,Peel Regional Municipality
"BELVIDERE, IL",Boone,Boone
"STOCKBRIDGE, GA",Henry,Henry
"WARROAD, MN",Roseau,Roseau
"TRAVERSE CITY, MI",Grand Traverse,Grand Traverse
"ROCK ISLAND, IL",Rock Island,Rock Island
"WEST NEWTON, MA",Middlesex,Middlesex
"HUMBOLDT, IA",Humboldt,Humboldt
"FRANKLIN, TN",Williamson,Williamson
"KATONAH, NY",Westchester,Westchester
"PLANTATION, FL",Broward,Broward
"PLYMPTON, MA",Plymouth,Plymouth
"STOCKTON, MO",Cedar,Cedar
"RUSSELL, KS",Russell,Russell
"WAIPAHU, HI",Honolulu County,Honolulu County
"MONTICELLO, AR",Drew,Drew
"MANKATO, MN",Blue Earth,Blue Earth
"CROSS HILL, SC",Laurens,Laurens
"DELMAR, NY",Albany,Albany
"ALDEN, IA",Hardin,Hardin
"MIAMI, FL",Miami-Dade,Miami-Dade
"WINTER PARK, FL",Orange,Orange
"CASSELBERRY, FL",Seminole,Seminole
"WRENTHAM, MA",Norfolk,Norfolk
"DAINGERFIELD, TX",Morris,Morris
"CAMDENTON, MO",Camden,Camden
"LA PORTE, IN",LaPorte,Laporte
"KEY BISCAYNE, FL",Miami-Dade,Miami-Dade
"CLOSTER, NJ",Bergen,Bergen
"HENAGAR, AL",DeKalb,Dekalb
"STONY POINT, NY",Rockland,Rockland
"FRANKLIN SQUARE, NY",Nassau,Nassau
"HARTFORD, CT",Hartford,Hartford
"HENDERSON, KY",Henderson,Henderson
"UNION CITY, TN",Obion,Obion
"GROESBECK, TX",Limestone,Limestone
"WEST LAFAYETTE, IN",Tippecanoe,Tippecanoe
"HARTLAND, MI",Livingston,Livingston
"NEW BRUNSWICK, NJ",Middlesex,Middlesex
"BETHLEHEM, GA",Barrow,Barrow
"BEAR, DE",New Castle,New Castle
"HOLLIDAYSBURG, PA",Blair,Blair
"PORTAGE, MI",Kalamazoo,Kalamazoo
"TAFUNA, AM",Tualauta,Tualauta
"CHESTERFIELD, MO",St. Louis,St Louis
"PUYALLUP, WA",Pierce County,Pierce County
"WAUSEON, OH",Fulton,Fulton
"BROWNSBORO, TX",Henderson,Henderson
"CALLAHAN, FL",Nassau,Nassau
"WAIMANALO, HI",Honolulu County,Honolulu County
"SPRING LAKE, NC",Cumberland,Cumberland
"MISSION, BC",Fraser Valley,Fraser Valley
"APTOS, CA",Santa Cruz County,Santa Cruz County
"GONZALES, TX",Gonzales,Gonzales
"NEWHALL, CA",Los Angeles County,Los Angeles County
"BARRINGTON, IL",Cook,Cook
"BUSHNELL, FL",Sumter,Sumter
"SPOKANE, WA",Spokane County,Spokane County
"UNION, OH",Montgomery,Montgomery
"OTTAWA, OH",Putnam,Putnam
"SOLON, OH",Cuyahoga,Cuyahoga
"MIDLAND, TX",Midland,Midland
"COCONUT CREEK, FL",Broward,Broward
"FRANKLINTON, NC",Franklin,Franklin
"FONTANA, CA",San Bernardino County,San Bernardino County
"MCHENRY, IL",McHenry,McHenry
"RUSTON, LA",Lincoln,Lincoln
"PERRYVILLE, MD",Cecil,Cecil
"VAN HORNE, IA",Benton,Benton
"ZIONSVILLE, IN",Boone,Boone
"RIVERTON, UT",Salt Lake County,Salt Lake County
"PALOS VERDES ESTATES, CA",Los Angeles County,Los Angeles County
"PROSPECT HEIGHTS, IL",Cook,Cook
"HOWARD BEACH, NY",Queens,Queens
"LANDOVER, MD",Prince George's,Prince George's
"BOURBONNAIS, IL",Kankakee,Kankakee
"ALACHUA, FL",Alachua,Alachua
"BELLVILLE, TX",Austin,Austin
"SARASOTA, FL",Sarasota,Sarasota
"RANKIN, PA",Allegheny,Allegheny
"MASON, OH",Warren,Warren
"POTTSVILLE, PA",Schuylkill,Schuylkill
"RIVERVIEW, FL",Hillsborough,Hillsborough
"UNIONTOWN, PA",Fayette,Fayette
"MADISONVILLE, LA",St. Tammany,St Tammany
"LEBANON, PA",Lebanon,Lebanon
"MONTOURSVILLE, PA",Lycoming,Lycoming
"OCEAN, NJ",Monmouth,Monmouth
"WEST BOYLSTON, MA",Worcester,Worcester
"RUSSELL SPRINGS, KY",Russell,Russell
"WHITE CASTLE, LA",Iberville,Iberville
"KEALAKEKUA, HI",Hawaii County,Hawaii County
"BLOUNTSVILLE, AL",Blount,Blount
"WADSWORTH, IL",Lake,Lake
"SNOQUALMIE, WA",King County,King County
"BRISTOW, VA",Prince William,Prince William
"BENNETTSVILLE, SC",Marlboro,Marlboro
"WHITEWRIGHT, TX",Grayson,Grayson
"DOLTON, IL",Cook,Cook
"TUPELO, MS",Lee,Lee
"SOUTHAVEN, MS",DeSoto,Desoto
"HELENA, MT",Lewis and Clark,Lewis and Clark
"FLINT, MI",Genesee,Genesee
"SOUTHBRIDGE, MA",Worcester,Worcester
"JAMISON, PA",Bucks,Bucks
"COLLEGE PARK, GA",Fulton,Fulton
"HIRAM, GA",Paulding,Paulding
"FERN CREEK, KY",Jefferson,Jefferson
"WEST HAVERSTRAW, NY",Rockland,Rockland
"PRIMM SPRINGS, TN",Hickman,Hickman
"PATTON, PA",Cambria,Cambria
"PAWLEYS ISLAND, SC",Georgetown,Georgetown
"LOVELAND, CO",Larimer,Larimer
"KAMUELA, HI",Hawaii County,Hawaii County
"PACIFIC PALISADES, CA",Los Angeles County,Los Angeles County
"LAKE WALES, FL",Polk,Polk
"DECLO, ID",Cassia,Cassia
"PERHAM, MN",Otter Tail,Otter Tail
"CASTLE HAYNE, NC",New Hanover,New Hanover
"PAWHUSKA, OK",Osage,Osage
"GILMAN, CT",New London,New London
"ORRVILLE, OH",Wayne,Wayne
"CHESTER SPRINGS, PA",Chester,Chester
"SEARSBORO, IA",Poweshiek,Poweshiek
"SANTA YNEZ, CA",Santa Barbara County,Santa Barbara County
"LAKESIDE, CA",San Diego County,San Diego County
"YUMA, CO",Yuma,Yuma
"MONROE, WA",Snohomish County,Snohomish County
"FOX ISLAND, WA",Pierce County,Pierce County
